condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,0,10,2,925,0,1.2,0.1723,0.9632,0.7425,4388,7,6,8,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,1,13,2,1359,0,0.7748,0.0192,0.9875,0.5746,5458,3,2,7,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,2,11,1,522,0.1999999999999993,0,0,1,0,2919,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,3,10,1,1155,0,1.9469,0.548,0.9142,0.764,3680,7,7,8,7
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,4,14,2,1770,0,0.1288,0.0087,0.9937,0.3176,7180,2,2,4,3
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,5,11,2,876,0,0,0,1,0,3394,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,6,11,2,1841,0,0.7375,0.0092,0.9971,0.7164,8103,2,1,2,3
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,7,6,1,99,8.6,0,0,1,0,1161,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,8,11,2,2658,0,0.4062,0.0067,0.996,0.0743,9345,2,2,2,3
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,9,11,2,705,0,0.0737,0.0001,1,0.1151,3463,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,0,12,2,1002,0,0.9684,0.1391,0.894,0.5853,6286,6,7,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,1,10,1,696,0,0.8271,0.014,0.9846,0.3021,3411,4,3,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,2,10,2,427,1.5999999999999996,0.5196,0.0069,0.989,0.1964,2413,2,1,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,3,11,2,600,0,1.8552,0.23,0.8527,0.771,2787,7,5,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,4,10,2,415,0,0.3076,0.0185,0.991,0.2816,2745,3,4,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,5,10,2,462,0,1.9307,0.2174,0.8988,0.5599,2490,6,7,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,6,11,2,962,0,1.2352,0.0278,0.9771,0.687,4729,3,2,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,7,10,1,523,0,2.3115,0.4746,0.8437,0.6195,2841,8,7,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,8,10,1,520,0,0.2631,0.0014,0.9985,0.2624,2607,1,1,2,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,9,11,2,548,0,0.6778,0.0139,0.9924,0.7744,2391,3,2,7,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,0,15,1,2206,0,0.7743,0.0311,0.9896,0.1937,6973,2,2,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,1,10,1,602,0,0.9688,0.0092,0.9937,0.5169,3147,4,3,7,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,2,10,1,1131,0,0.423,0.0045,0.9934,0.0167,4373,1,1,2,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,3,11,1,272,4.6,1.2134,0.1559,0.9748,0.616,2827,4,3,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,4,10,1,407,3,1.0321,0.0107,0.9882,0.7242,2134,2,1,3,2
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,5,10,1,864,0,0.7566,0.0513,0.9726,0.117,3266,6,4,5,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,6,11,2,495,0,1.1619,0.0304,0.9649,0.421,2819,5,4,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,7,10,2,353,1.4000000000000004,0.4114,0.0043,0.9929,0.029,2481,1,1,2,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,8,10,2,869,0,1.796,0.1195,0.8936,0.3966,3785,4,3,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,9,10,1,719,0,1.3664,0.1023,0.9196,0.6872,4540,5,4,7,6
