condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini,0,1,9.72,6,6,8.4,0,7,1,2,60,0.6943,0.0079,0.9927,6,6,gpt-5.4-mini,2004,2932
s1__t1__gpt_5_4_mini,0,2,10.8,7,7,8,0,7,1,2,69,1.0488,0.0148,0.9944,6,6,gpt-5.4-mini,2003,2784
s1__t1__gpt_5_4_mini,0,3,7.16,4,5,7.2,0,7,1,2,89,0.6689,0.0076,0.9925,6,6,gpt-5.4-mini,3281,2791
s1__t1__gpt_5_4_mini,0,4,5.32,2,7,6.4,0,7,1,2,109,0.4505,0.0043,0.9961,6,6,gpt-5.4-mini,2444,3168
s1__t1__gpt_5_4_mini,0,5,6.32,4,2,6.4,0,7,1,2,109,0.6872,0.007,0.9934,6,6,gpt-5.4-mini,2219,3107
s1__t1__gpt_5_4_mini,0,6,4.92,3,0,6.4,0,7,1,2,109,0.6872,0.007,0.9934,6,6,gpt-5.4-mini,3104,3248
s1__t1__gpt_5_4_mini,0,7,6.279999999999999,4,3,5.6,0,7,2,2,137,0.5889,0.0051,0.995,6,6,gpt-5.4-mini,2552,4035
s1__t1__gpt_5_4_mini,0,8,6.72,4,4,6.4,0,7,1,2,109,0.7197,0.0071,0.9931,6,6,gpt-5.4-mini,4389,3030
s1__t1__gpt_5_4_mini,0,9,5.8,3,5,6,0,8,2,2,144,0.3628,0.0043,0.9957,6,6,gpt-5.4-mini,4332,3508
s1__t1__gpt_5_4_mini,0,10,8.52,5,8,6.4,0,7,1,2,109,0.6689,0.0072,0.9929,6,6,gpt-5.4-mini,2835,4464
s1__t1__gpt_5_4_mini,0,11,8.8,6,5,6,0,8,2,2,144,0.7851,0.0071,0.993,6,6,gpt-5.4-mini,4163,4018
s1__t1__gpt_5_4_mini,0,12,8.92,7,0,6.4,0,7,1,2,109,0.6689,0.0072,0.9929,6,6,gpt-5.4-mini,3074,3711
s1__t1__gpt_5_4_mini,0,13,6.68,4,5,5.6,0,9,2,2,173,0.6469,0.0065,0.9937,6,6,gpt-5.4-mini,3890,4364
s1__t1__gpt_5_4_mini,0,14,5.68,4,0,5.6,0,9,2,2,173,0.6469,0.0065,0.9937,6,6,gpt-5.4-mini,3294,3644
s1__t1__gpt_5_4_mini,0,15,8.16,6,3,5.2,0,9,3,2,191,1.3159,0.0125,0.9979,6,6,gpt-5.4-mini,5551,3419
