condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini,0,1,9.5,7,5,2,0,0,25,2.2894,0.2342,0.9663,3,3,gpt-5.4-mini,852,2413
s1__t1__gpt_5_4_mini,0,2,12.5,9,7,2,0,0,25,2.416,0.3797,0.9915,3,3,gpt-5.4-mini,742,1792
s1__t1__gpt_5_4_mini,0,3,12,9,6,2,0,0,24,2.5844,0.3887,0.7515,3,3,gpt-5.4-mini,959,2315
s1__t1__gpt_5_4_mini,0,4,12,9,6,2,0,0,24,2.555,0.3879,0.9037,3,3,gpt-5.4-mini,776,2276
s1__t1__gpt_5_4_mini,0,5,9,8,2,4,0,1,39,2.3321,0.2612,0.9967,3,3,gpt-5.4-mini,945,3621
s1__t1__gpt_5_4_mini,0,6,11.5,9,5,7,0,2,96,1.8793,0.2892,0.9693,3,3,gpt-5.4-mini,1189,2104
s1__t1__gpt_5_4_mini,0,7,11,9,4,7,0,3,150,2.0732,0.2918,0.9717,3,3,gpt-5.4-mini,1500,2303
s1__t1__gpt_5_4_mini,0,8,11.5,9,5,7,0,3,150,2.0751,0.2954,0.9782,3,3,gpt-5.4-mini,1753,2384
s1__t1__gpt_5_4_mini,0,9,9.5,7,5,7,0,3,150,2.0676,0.2954,0.9674,3,3,gpt-5.4-mini,1482,2394
s1__t1__gpt_5_4_mini,0,10,9,8,2,7,0,3,150,2.0727,0.299,0.9674,3,3,gpt-5.4-mini,1476,2084
s1__t1__gpt_5_4_mini,0,11,8.5,8,1,7,0,3,150,2.0753,0.3027,0.9661,3,3,gpt-5.4-mini,1385,2237
s1__t1__gpt_5_4_mini,0,12,8,8,0,7,0,3,150,2.0753,0.3027,0.9661,3,3,gpt-5.4-mini,2763,2301
s1__t1__gpt_5_4_mini,0,13,8.5,8,1,7,0,3,155,2.0989,0.3012,0.9641,3,3,gpt-5.4-mini,1657,2656
s1__t1__gpt_5_4_mini,0,14,9,8,2,7,0,3,155,2.0845,0.3019,0.9645,3,3,gpt-5.4-mini,1400,2190
s1__t1__gpt_5_4_mini,0,15,9.5,8,3,7,0,3,155,2.0927,0.3019,0.966,3,3,gpt-5.4-mini,1429,1961
s1__t1__gpt_5_4_mini,1,1,9.5,8,3,5,0,1,51,2.4317,0.27,0.986,3,3,gpt-5.4-mini,1133,2355
s1__t1__gpt_5_4_mini,1,2,13,9,8,6,1,1,77,1.6741,0.6114,0.9971,3,3,gpt-5.4-mini,1184,2166
s1__t1__gpt_5_4_mini,1,3,12.5,9,7,8,1,1,136,1.5059,0.1257,0.9579,3,3,gpt-5.4-mini,1422,2249
s1__t1__gpt_5_4_mini,1,4,11.5,8,7,8,1,1,136,2.3702,0.1542,0.958,3,3,gpt-5.4-mini,1312,2697
s1__t1__gpt_5_4_mini,1,5,12.5,9,7,8,1,1,136,2.2678,0.1696,0.9576,3,3,gpt-5.4-mini,1425,2098
s1__t1__gpt_5_4_mini,2,1,9.5,7,5,2,0,0,24,2.5258,0.3299,0.7381,3,3,gpt-5.4-mini,2184,2666
s1__t1__gpt_5_4_mini,2,2,9.5,7,5,2,0,0,24,2.3322,0.2414,0.9215,3,3,gpt-5.4-mini,771,1955
s1__t1__gpt_5_4_mini,2,3,12.5,9,7,4,0,0,36,2.553,0.3425,0.7311,3,3,gpt-5.4-mini,2081,2231
s1__t1__gpt_5_4_mini,2,4,9,7,4,4,0,0,34,2.4672,0.3028,0.9173,3,3,gpt-5.4-mini,1039,2236
s1__t1__gpt_5_4_mini,2,5,11,9,4,4,0,0,36,2.4394,0.3651,0.9859,3,3,gpt-5.4-mini,870,1978
s1__t1__gpt_5_4_mini,2,6,12,9,6,4,0,0,36,2.5867,0.359,0.9111,3,3,gpt-5.4-mini,853,2125
s1__t1__gpt_5_4_mini,2,7,10,8,4,4,0,0,36,2.577,0.3637,0.7403,3,3,gpt-5.4-mini,852,3351
s1__t1__gpt_5_4_mini,2,8,12.5,9,7,4,0,0,48,2.4515,0.2759,0.9841,3,3,gpt-5.4-mini,821,2475
s1__t1__gpt_5_4_mini,2,9,10.5,9,3,4,0,0,48,2.1389,0.2601,0.9842,3,3,gpt-5.4-mini,1010,1945
s1__t1__gpt_5_4_mini,2,10,12.5,9,7,4,0,0,48,2.5795,0.3431,0.7173,3,3,gpt-5.4-mini,992,3058
s1__t1__gpt_5_4_mini,2,11,9.5,6,7,4,0,0,48,2.0275,0.1235,0.8411,3,3,gpt-5.4-mini,985,2187
s1__t1__gpt_5_4_mini,2,12,8.5,8,1,4,0,0,48,2.0274,0.1245,0.8397,3,3,gpt-5.4-mini,989,3670
s1__t1__gpt_5_4_mini,2,13,13,9,8,4,0,0,53,2.5635,0.437,0.907,3,3,gpt-5.4-mini,996,2400
s1__t1__gpt_5_4_mini,2,14,10.5,7,7,4,0,0,53,2.5841,0.3557,0.8271,3,3,gpt-5.4-mini,988,2241
s1__t1__gpt_5_4_mini,2,15,9.5,6,7,4,0,0,53,2.2511,0.1518,0.8141,3,3,gpt-5.4-mini,1071,2092
s1__t2__gpt_5_4_mini,0,1,5.5,4,3,4,0,1,46,2.1676,0.2276,0.9848,3,3,gpt-5.4-mini,999,1909
s1__t2__gpt_5_4_mini,0,2,10.5,7,7,5,0,1,53,1.2576,0.0323,0.9971,3,3,gpt-5.4-mini,1018,2214
s1__t2__gpt_5_4_mini,0,3,2.5,2,1,5,0,1,52,1.3066,0.0224,0.9989,3,3,gpt-5.4-mini,917,2195
s1__t2__gpt_5_4_mini,0,4,2.5,2,1,5,0,1,52,1.247,0.0306,0.9989,3,3,gpt-5.4-mini,1072,2060
