condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m5v2db,evolution,Line,Depth and layered transparency,gpt-5.4-mini,0,15,12,8,4,0,8,5,,13.00,7,5,,12.00,7,8,1.00,0.00,7,8,0.00,-1.00,10,1,1883,0.3282,0.0167,2,completed,136886,
s1__t3__gpt_5_4_mini__m5v2db,evolution,Line,Depth and layered transparency,gpt-5.4-mini,1,15,14,6,8,0,6,5,,11.00,7,5,,12.00,7,8,-1.00,-2.00,7,8,0.00,-1.00,12,3,1900,1.201,0.0265,0,completed,115329,
s1__t3__gpt_5_4_mini__m5v2db,evolution,Line,Depth and layered transparency,gpt-5.4-mini,2,15,17,9,8,0,8,7,,15.00,8,6,,14.00,7,8,1.00,0.00,7,8,1.00,0.00,10,3,2273,1.4768,0.1402,1,completed,92433,
s1__t3__gpt_5_4_mini__m5v2db,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,0,15,11,7,4,0,7,6,,13.00,8,7,,15.00,7,8,0.00,-1.00,7,8,1.00,0.00,14,2,1847,1.402,0.1516,1,completed,86254,
s1__t3__gpt_5_4_mini__m5v2db,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,1,15,7,4,3,0,2,2,,4.00,8,5,,13.00,7,8,-5.00,-6.00,7,8,1.00,0.00,13,2,1788,0.5163,0.0054,2,completed,95447,
s1__t3__gpt_5_4_mini__m5v2db,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,2,15,17.2,8,6,3.2,7,5,,12.00,8,7,,15.00,7,8,0.00,-1.00,7,8,1.00,0.00,10,2,423,1.8085,0.2524,1,completed,69122,
s1__t3__gpt_5_4_mini__m5v2di,evolution,Line,Depth and layered transparency,gpt-5.4-mini,0,15,13,8,5,0,7,6,,13.00,7,6,,13.00,7,8,0.00,-1.00,7,8,0.00,-1.00,13,1,1342,1.2281,0.0474,0,completed,108579,
s1__t3__gpt_5_4_mini__m5v2di,evolution,Line,Depth and layered transparency,gpt-5.4-mini,1,15,12,8,4,0,4,3,,7.00,7,6,,13.00,7,8,-3.00,-4.00,7,8,0.00,-1.00,14,3,2024,1.059,0.0636,1,completed,122190,
s1__t3__gpt_5_4_mini__m5v2di,evolution,Line,Depth and layered transparency,gpt-5.4-mini,2,15,7,7,0,0,7,6,,13.00,7,4,,11.00,7,8,0.00,-1.00,7,8,0.00,-1.00,13,2,2284,0.9795,0.0763,2,completed,166588,
s1__t3__gpt_5_4_mini__m5v2di,feedback_only,Line,Depth and layered transparency,gpt-5.4-mini,0,15,12,7,5,0,8,6,,14.00,8,6,,14.00,7,8,1.00,0.00,7,8,1.00,0.00,14,1,1450,1.3412,0.2358,1,completed,89781,
