condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,0,13,2,812,0,0.2709,0.0037,0.9969,0.1631,4119,1,1,2,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,1,11,1,596,0,0.593,0.0054,0.9985,0.0027,3375,1,1,2,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,2,9,1,719,0,0.5711,0.0081,0.999,0.2571,9992,2,2,3,2
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,3,10,1,928,0,0.3897,0.0043,0.9949,0.0084,3795,2,2,1,2
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,4,10,2,2118,0,0.498,0.0044,1,0,5989,1,1,1,2
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,5,13,2,657,0,0.498,0.0044,1,0,2989,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,6,12,1,206,5.8,0.2572,0.0092,0.9948,0,2223,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,7,14,2,459,4.6,0.1161,0,1,0,2434,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,8,10,2,1132,0,0.762,0.0042,1,0.0006,3823,2,1,2,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,,9,13,3,793,0,0.498,0.0044,1,0,2779,1,1,2,1
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,,0,14,2,1526,0,0.3842,0.0073,0.9934,0.4655,4626,2,2,4,3
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,,1,13,8,3369,0,0.8311,0.0186,0.9806,0.5913,10243,2,2,3,4
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's color period — vibrant parallel stripes and curves in saturated colors creating optical movement.,,2,12,1,2482,0,0.4903,0.0073,1,0,7036,2,1,3,2
