condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,0,12,2,3355,0,0.6824,0.0089,0.9987,0.0109,11715,2,1,2,3
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,1,15,2,4805,0,0.5294,0.0082,0.9953,0.6177,13134,2,3,3,4
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,2,11,2,1347,0,0.4704,0.0057,0.999,0.2208,5221,2,2,2,2
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,3,12,2,3959,0,0.7992,0.0244,0.9965,0.107,13114,3,2,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,4,11,1,1774,0,0.2572,0.0081,0.9995,0,5876,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,5,11,1,2781,0,0.7885,0.028,0.987,0.7406,10369,3,5,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,6,11,2,3309,0,0.6329,0.0127,0.9974,0.6499,9439,3,3,7,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,7,12,2,2637,0,0.2572,0.0081,0.9995,0,9092,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,8,13,2,2848,0,0.6291,0.035,0.9672,0.7716,10385,3,4,7,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,,9,14,2,1621,0,0.1288,0.0002,0.9999,0.0056,5866,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,0,10,2,1005,0,0.4062,0.0056,0.9977,0.195,5678,2,2,2,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,1,10,1,599,2.2,1.5419,0.0987,0.9084,0.6048,3372,7,6,8,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,2,11,2,969,0,1.3298,0.0569,0.9793,0.5913,3456,4,3,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,3,11,1,1199,0,0.5356,0.0078,0.9974,0.337,4680,2,2,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,4,11,1,1124,0,0.6419,0.0119,0.9996,0.7719,4451,3,2,7,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,5,11,1,1314,0,0.4372,0.0091,0.9928,0.0189,4743,2,2,3,2
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,6,11,1,993,0,0.6817,0.006,0.9984,0.6745,5756,2,2,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,7,11,1,2274,0,0.8609,0.0139,0.9962,0.6983,9676,3,4,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,8,11,1,685,0,0.9691,0.0269,0.9865,0.5087,3487,3,4,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white style.,Line,9,10,2,625,0,1.9681,0.0567,0.9627,0.6893,4624,7,6,8,7
