condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m4v3rb,0,1,10.8,1,0,9.8,0,1,0,0,6,0.498,0.0089,1,4,4,gpt-5.4-mini,2202,2889
s1__t1__gpt_5_4_mini__m4v3rb,0,2,20.8,7,7,6.8,0,12,2,2,196,1.2786,0.0633,0.9664,4,4,gpt-5.4-mini,2311,2739
s1__t1__gpt_5_4_mini__m4v3rb,0,3,21.2,5,7,9.2,0,4,2,1,94,0.6785,0.0097,0.9946,4,4,gpt-5.4-mini,2477,2354
s1__t1__gpt_5_4_mini__m4v3rb,0,4,13.8,4,1,8.8,1,5,2,1,104,0.6532,0.0086,0.9952,4,4,gpt-5.4-mini,1702,3175
s1__t1__gpt_5_4_mini__m4v3rb,0,5,22.8,6,8,8.8,0,5,2,1,118,0.7234,0.0113,0.9934,4,4,gpt-5.4-mini,1665,3036
s1__t1__gpt_5_4_mini__m4v3rb,0,6,21.2,5,7,9.2,0,4,2,1,94,0.6785,0.0097,0.9946,4,4,gpt-5.4-mini,1866,2464
s1__t1__gpt_5_4_mini__m4v3rb,0,7,21.8,6,8,7.8,0,7,3,1,132,1.3448,0.0181,0.9964,4,4,gpt-5.4-mini,1412,2771
s1__t1__gpt_5_4_mini__m4v3rb,0,8,23,9,8,6,0,8,3,1,190,1.262,0.0199,0.9964,4,4,gpt-5.4-mini,1558,2627
s1__t1__gpt_5_4_mini__m4v3rb,0,9,20.8,6,7,7.8,0,7,3,1,131,1.3384,0.0167,0.9976,4,4,gpt-5.4-mini,2572,4749
s1__t1__gpt_5_4_mini__m4v3rb,0,10,21.2,5,7,9.2,0,4,2,1,94,0.6785,0.0097,0.9946,4,4,gpt-5.4-mini,3163,2558
s1__t1__gpt_5_4_mini__m4v3rb,0,11,23,9,8,6,0,8,3,1,190,1.262,0.0199,0.9964,4,4,gpt-5.4-mini,1527,2495
s1__t1__gpt_5_4_mini__m4v3rb,0,12,15.8,2,5,8.8,1,5,2,1,106,0.5387,0.0071,0.9963,4,4,gpt-5.4-mini,1965,3024
s1__t1__gpt_5_4_mini__m4v3rb,0,13,16,4,4,8,0,5,2,1,136,0.671,0.0068,0.9967,4,4,gpt-5.4-mini,1960,2620
s1__t1__gpt_5_4_mini__m4v3rb,0,14,21.8,8,7,6.8,0,8,3,1,168,1.1647,0.0257,0.9938,4,4,gpt-5.4-mini,1794,3101
s1__t1__gpt_5_4_mini__m4v3rb,0,15,15,4,4,7,1,7,2,1,161,0.7485,0.0072,0.9966,4,4,gpt-5.4-mini,3956,2895
s1__t1__gpt_5_4_mini__m4v3rb,0,16,21.2,8,8,5.2,0,9,4,1,236,1.4995,0.0363,0.9871,4,4,gpt-5.4-mini,3158,2498
s1__t1__gpt_5_4_mini__m4v3rb,0,17,13,5,5,3,1,7,2,2,347,0.9497,0.01,0.9957,4,4,gpt-5.4-mini,4460,3662
s1__t1__gpt_5_4_mini__m4v3rb,0,18,13,4,6,3,0,7,2,2,347,1.0761,0.012,0.9948,4,4,gpt-5.4-mini,2724,2630
s1__t1__gpt_5_4_mini__m4v3rb,1,1,20.6,5,7,8.6,0,7,2,2,157,0.5785,0.0159,0.9832,4,4,gpt-5.4-mini,2020,2466
s1__t1__gpt_5_4_mini__m4v3rb,1,2,12.6,4,0,8.6,1,7,2,2,157,0.5785,0.0159,0.9832,4,4,gpt-5.4-mini,2098,4803
s1__t1__gpt_5_4_mini__m4v3rb,1,3,18.6,5,6,7.6,0,8,2,2,186,0.8642,0.0221,0.9777,4,4,gpt-5.4-mini,2122,2566
s1__t1__gpt_5_4_mini__m4v3rb,1,4,10.8,1,0,9.8,1,1,0,0,6,0.498,0.0089,1,4,4,gpt-5.4-mini,2082,2633
s1__t1__gpt_5_4_mini__m4v3rb,1,5,19.6,7,5,7.6,0,8,2,2,188,1.411,0.0709,0.9456,4,4,gpt-5.4-mini,1826,2252
s1__t1__gpt_5_4_mini__m4v3rb,1,6,20,8,5,7,0,10,2,2,203,1.2475,0.0417,0.9646,4,4,gpt-5.4-mini,2372,2418
s1__t1__gpt_5_4_mini__m4v3rb,1,7,16.6,5,5,6.6,0,10,2,2,222,1.4248,0.0314,0.9855,4,4,gpt-5.4-mini,2028,2447
s1__t1__gpt_5_4_mini__m4v3rb,1,8,21.2,7,8,6.2,0,10,3,2,273,2.0749,0.1202,0.8818,4,4,gpt-5.4-mini,2430,4174
s1__t1__gpt_5_4_mini__m4v3rb,1,9,21.2,8,7,6.2,0,10,3,2,274,1.7819,0.1437,0.9222,4,4,gpt-5.4-mini,2390,2319
s1__t1__gpt_5_4_mini__m4v3rb,1,10,20.2,9,5,6.2,0,10,3,2,268,2.0331,0.1737,0.884,4,4,gpt-5.4-mini,2284,3034
s1__t1__gpt_5_4_mini__m4v3rb,1,11,20.2,8,6,6.2,0,10,3,2,274,1.8233,0.1898,0.9203,4,4,gpt-5.4-mini,2518,2763
s1__t1__gpt_5_4_mini__m4v3rb,1,12,18.2,7,5,6.2,0,10,3,2,269,1.3075,0.036,0.9771,4,4,gpt-5.4-mini,2514,2630
s1__t1__gpt_5_4_mini__m4v3rb,1,13,20.8,9,6,5.8,0,11,3,2,307,1.9454,0.2417,0.9081,4,4,gpt-5.4-mini,4362,3614
s1__t1__gpt_5_4_mini__m4v3rb,1,14,19.2,6,7,6.2,0,10,3,2,269,1.2783,0.0366,0.9788,4,4,gpt-5.4-mini,2463,3121
s1__t1__gpt_5_4_mini__m4v3rb,1,15,17.8,4,8,5.8,0,11,3,2,307,1.2102,0.0143,0.9905,4,4,gpt-5.4-mini,2811,2610
s1__t1__gpt_5_4_mini__m4v3rb,1,16,18.8,6,7,5.8,0,11,3,2,307,2.141,0.1553,0.8762,4,4,gpt-5.4-mini,2708,2825
s1__t1__gpt_5_4_mini__m4v3rb,1,17,15.8,8,2,5.8,0,11,3,2,307,1.9479,0.2535,0.9141,2,2,gpt-5.4-mini,6556,3543
s1__t1__gpt_5_4_mini__m4v3rb,1,18,18.8,6,7,5.8,0,11,3,2,307,1.2062,0.0492,0.9797,4,4,gpt-5.4-mini,2524,2764
s1__t1__gpt_5_4_mini__m4v3rb,1,19,17.2,5,7,5.2,0,11,3,2,323,0.5659,0.0063,0.9938,4,4,gpt-5.4-mini,2861,2473
s1__t1__gpt_5_4_mini__m4v3rb,1,20,18.8,6,7,5.8,0,11,3,2,307,2.141,0.1553,0.8762,4,4,gpt-5.4-mini,2635,4079
s1__t1__gpt_5_4_mini__m4v3rb,2,1,10.8,1,0,9.8,0,1,0,0,6,0.498,0.0089,1,4,4,gpt-5.4-mini,1607,3029
s1__t1__gpt_5_4_mini__m4v3rb,2,2,10.8,1,0,9.8,0,1,0,0,6,0.498,0.0089,1,4,4,gpt-5.4-mini,2620,2742
s1__t1__gpt_5_4_mini__m4v3rb,2,3,22.6,6,8,8.6,0,6,2,1,108,0.7188,0.0098,0.9937,4,4,gpt-5.4-mini,3209,2617
s1__t1__gpt_5_4_mini__m4v3rb,2,4,18.2,4,6,8.2,1,6,2,1,123,0.6516,0.0103,0.9946,4,4,gpt-5.4-mini,1584,2434
s1__t1__gpt_5_4_mini__m4v3rb,2,5,20,5,6,9,0,5,2,1,94,0.658,0.0108,0.9943,4,4,gpt-5.4-mini,2645,2846
s1__t1__gpt_5_4_mini__m4v3rb,2,6,22.6,6,8,8.6,0,6,2,1,108,0.7188,0.0098,0.9937,4,4,gpt-5.4-mini,1612,3017
s1__t1__gpt_5_4_mini__m4v3rb,2,7,18.2,5,5,8.2,1,7,2,1,121,0.4804,0.0048,0.9978,4,4,gpt-5.4-mini,2134,2689
s1__t1__gpt_5_4_mini__m4v3rb,2,8,19.2,6,5,8.2,0,6,3,1,124,0.7898,0.0101,0.9959,4,4,gpt-5.4-mini,2200,3368
s1__t1__gpt_5_4_mini__m4v3rb,2,9,22.8,8,8,6.8,0,12,3,2,297,0.8134,0.0356,0.9929,4,4,gpt-5.4-mini,4397,2734
s1__t1__gpt_5_4_mini__m4v3rb,2,10,19.2,6,5,8.2,0,6,3,1,124,0.7898,0.0101,0.9959,4,4,gpt-5.4-mini,3787,3390
s1__t1__gpt_5_4_mini__m4v3rb,2,11,14.8,8,2,4.8,1,12,3,2,424,0.8901,0.0367,0.9906,4,4,gpt-5.4-mini,1887,2790
s1__t1__gpt_5_4_mini__m4v3rb,2,12,18.6,5,7,6.6,0,8,3,1,177,1.27,0.0739,0.9488,4,4,gpt-5.4-mini,2735,2463
s1__t1__gpt_5_4_mini__m4v3rb,2,13,18.4,7,5,6.4,0,12,3,2,322,0.5115,0.0225,0.9879,4,4,gpt-5.4-mini,4759,3288
s1__t1__gpt_5_4_mini__m4v3rb,2,14,17.4,3,8,6.4,0,12,3,2,322,1.2488,0.0227,0.9911,4,4,gpt-5.4-mini,2445,2742
s1__t1__gpt_5_4_mini__m4v3rb,2,15,18.4,7,5,6.4,0,12,3,2,322,0.5115,0.0225,0.9879,4,4,gpt-5.4-mini,2552,2848
s1__t1__gpt_5_4_mini__m4v3rb,2,16,13.6,8,0,5.6,1,12,3,2,358,0.4876,0.0225,0.9879,4,4,gpt-5.4-mini,3988,2714
s1__t1__gpt_5_4_mini__m4v3rb,2,17,15.4,6,3,6.4,0,12,3,2,322,0.4585,0.0114,0.9929,4,4,gpt-5.4-mini,4351,2772
s1__t1__gpt_5_4_mini__m4v3rb,2,18,18.4,7,5,6.4,0,12,3,2,322,0.5115,0.0225,0.9879,4,4,gpt-5.4-mini,3343,3777
s1__t1__gpt_5_4_mini__m4v3rb,2,19,20.4,8,6,6.4,0,12,3,2,319,0.658,0.0264,0.9867,4,4,gpt-5.4-mini,2785,2649
s1__t1__gpt_5_4_mini__m4v3rb,3,1,20.4,6,6,8.4,0,7,2,3,138,0.5212,0.0194,0.9812,4,4,gpt-5.4-mini,1884,2716
s1__t1__gpt_5_4_mini__m4v3rb,3,2,18.6,6,5,7.6,0,10,2,2,152,0.7249,0.0187,0.9856,4,4,gpt-5.4-mini,1757,3477
s1__t1__gpt_5_4_mini__m4v3rb,3,3,20.6,6,7,7.6,0,10,2,2,152,0.7665,0.0148,0.9964,4,4,gpt-5.4-mini,1491,2727
s1__t1__gpt_5_4_mini__m4v3rb,3,4,22.2,7,7,8.2,0,8,2,2,141,0.5659,0.0124,0.9897,4,4,gpt-5.4-mini,2124,2397
s1__t1__gpt_5_4_mini__m4v3rb,3,5,17.6,6,4,7.6,1,10,2,2,149,1.359,0.0241,0.9955,4,4,gpt-5.4-mini,3310,3201
s1__t1__gpt_5_4_mini__m4v3rb,3,6,16.4,5,5,6.4,0,10,3,2,188,1.3113,0.0283,0.9928,4,4,gpt-5.4-mini,1949,3330
s1__t1__gpt_5_4_mini__m4v3rb,3,7,17.4,5,6,6.4,0,10,3,2,189,1.3168,0.0277,0.9898,4,4,gpt-5.4-mini,4814,2457
s1__t1__gpt_5_4_mini__m4v3rb,3,8,18.6,6,5,7.6,0,10,2,2,152,0.7629,0.0193,0.9949,4,4,gpt-5.4-mini,2211,2858
s1__t1__gpt_5_4_mini__m4v3rb,3,9,11.6,4,0,7.6,1,10,2,2,152,0.7629,0.0193,0.9949,4,4,gpt-5.4-mini,6043,2701
s1__t1__gpt_5_4_mini__m4v3rb,3,10,19.4,7,6,6.4,0,10,3,2,186,1.7201,0.1242,0.9344,4,4,gpt-5.4-mini,2193,2675
s1__t1__gpt_5_4_mini__m4v3rb,3,11,19,7,5,7,0,10,2,2,165,1.2976,0.0296,0.9933,4,4,gpt-5.4-mini,2070,2718
s1__t1__gpt_5_4_mini__m4v3rb,3,12,19.4,8,5,6.4,0,10,3,2,186,1.3876,0.106,0.9591,4,4,gpt-5.4-mini,1904,3151
s1__t1__gpt_5_4_mini__m4v3rb,3,13,17.4,8,3,6.4,0,10,3,2,186,1.4477,0.0747,0.9498,4,4,gpt-5.4-mini,2290,3596
s1__t1__gpt_5_4_mini__m4v3rb,3,14,16,5,4,7,0,10,2,2,165,1.3731,0.0468,0.985,4,4,gpt-5.4-mini,2810,2659
s1__t1__gpt_5_4_mini__m4v3rb,3,15,19.4,8,5,6.4,0,10,3,2,186,1.3876,0.106,0.9591,4,4,gpt-5.4-mini,1765,4890
s1__t1__gpt_5_4_mini__m4v3rb,3,16,13.4,7,0,6.4,1,10,3,2,186,1.3876,0.106,0.9591,4,4,gpt-5.4-mini,2042,2993
s1__t1__gpt_5_4_mini__m4v3rb,3,17,14.4,8,0,6.4,0,10,3,2,186,1.3876,0.106,0.9591,4,4,gpt-5.4-mini,2033,2499
s1__t1__gpt_5_4_mini__m4v3rb,3,18,16,5,4,7,0,10,2,2,165,1.3731,0.0468,0.985,4,4,gpt-5.4-mini,2317,2764
s1__t1__gpt_5_4_mini__m4v3rb,3,19,18.4,8,4,6.4,0,10,3,2,186,1.4118,0.1295,0.9642,4,4,gpt-5.4-mini,3231,3013
s1__t1__gpt_5_4_mini__m4v3rb,3,20,18.4,8,4,6.4,0,10,3,2,184,1.8292,0.1571,0.9109,4,4,gpt-5.4-mini,1762,2914
s1__t1__gpt_5_4_mini__m4v3rb,3,21,18.4,8,4,6.4,0,10,3,2,186,1.4118,0.1295,0.9642,4,4,gpt-5.4-mini,2675,2854
s1__t1__gpt_5_4_mini__m4v3rb,3,22,20.6,7,7,6.6,0,11,3,2,236,1.657,0.0747,0.9454,4,4,gpt-5.4-mini,2219,2961
s1__t1__gpt_5_4_mini__m4v3rb,4,1,22.8,8,7,7.8,0,8,2,3,210,0.8055,0.0346,0.9707,4,4,gpt-5.4-mini,2033,2400
s1__t1__gpt_5_4_mini__m4v3rb,4,2,17.6,9,8,0.5999999999999996,1,11,2,6,593,1.1829,0.0326,0.981,4,4,gpt-5.4-mini,4193,2740
s1__t1__gpt_5_4_mini__m4v3rb,4,3,21.6,7,7,7.6,0,8,2,3,218,0.9429,0.0394,0.96,4,4,gpt-5.4-mini,4828,3059
s1__t1__gpt_5_4_mini__m4v3rb,4,4,10.6,6,4,0.5999999999999996,1,11,2,6,593,1.2904,0.0348,0.9786,4,4,gpt-5.4-mini,3547,3743
s1__t1__gpt_5_4_mini__m4v3rb,4,5,17.8,7,6,4.8,0,10,3,4,364,1.38,0.0602,0.943,4,4,gpt-5.4-mini,2030,2752
s1__t1__gpt_5_4_mini__m4v3rb,4,6,21.2,8,6,7.2,0,11,3,2,176,1.3853,0.0506,0.962,4,4,gpt-5.4-mini,2851,2586
s1__t1__gpt_5_4_mini__m4v3rb,4,7,21.8,8,7,6.8,0,11,3,2,186,1.3621,0.0467,0.9716,4,4,gpt-5.4-mini,3077,2395
