condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m7v2rb,0,1,9.6,8,8,0,0,10,1,2,879,1.4757,0.0604,0.9925,3,3,gpt-5.4-mini,6612,2115
s1__t1__gpt_5_4_mini__m7v2rb,0,2,7,7,0,0,0,10,1,2,879,1.4757,0.0604,0.9925,3,3,gpt-5.4-mini,5076,3953
s1__t1__gpt_5_4_mini__m7v2rb,0,3,8.2,7,6,0,0,9,1,2,510,1.1256,0.0785,0.9121,3,3,gpt-5.4-mini,4747,2815
s1__t1__gpt_5_4_mini__m7v2rb,0,4,10.4,9,7,0,0,10,2,2,1388,1.1771,0.139,0.9233,3,3,gpt-5.4-mini,3334,2567
s1__t1__gpt_5_4_mini__m7v2rb,0,5,7,7,0,0,0,10,2,2,1388,1.1771,0.139,0.9233,3,3,gpt-5.4-mini,7384,2566
s1__t1__gpt_5_4_mini__m7v2rb,0,6,6.6,5,8,0,0,11,2,1,945,1.7229,0.0477,0.9906,2,2,gpt-5.4-mini,8461,1944
s1__t1__gpt_5_4_mini__m7v2rb,0,7,8,8,0,0,0,11,2,1,945,1.7229,0.0477,0.9906,3,3,gpt-5.4-mini,9432,2327
s1__t1__gpt_5_4_mini__m7v2rb,0,8,10.4,9,7,0,0,11,2,1,1864,1.7068,0.064,0.988,3,3,gpt-5.4-mini,8316,2305
s1__t1__gpt_5_4_mini__m7v2rb,0,9,8,8,0,0,0,11,2,1,1864,1.7068,0.064,0.988,3,3,gpt-5.4-mini,10232,3737
s1__t1__gpt_5_4_mini__m7v2rb,0,10,8,8,0,0,0,11,2,1,1864,1.7068,0.064,0.988,3,3,gpt-5.4-mini,14360,2330
s1__t1__gpt_5_4_mini__m7v2rb,0,11,6,5,5,0,0,11,2,1,1035,1.8911,0.0608,0.9938,3,3,gpt-5.4-mini,5981,3066
s1__t1__gpt_5_4_mini__m7v2rb,0,12,10.4,9,7,0,0,11,2,1,2625,0.9115,0.0288,0.994,3,3,gpt-5.4-mini,2846,2238
s1__t1__gpt_5_4_mini__m7v2rb,0,13,9.4,8,7,0,0,12,2,2,1499,2.0445,0.0946,0.8909,3,3,gpt-5.4-mini,7611,2201
s1__t1__gpt_5_4_mini__m7v2rb,0,14,6.8,6,4,0,0,11,2,1,1043,1.6414,0.0279,0.9961,3,3,gpt-5.4-mini,2375,2304
s1__t1__gpt_5_4_mini__m7v2rb,0,15,10.42,8,7,3.4000000000000004,0,11,3,1,374,1.8618,0.0541,0.9906,3,3,gpt-5.4-mini,10011,3163
s1__t1__gpt_5_4_mini__m7v2rb,0,16,9.02,8,0,3.4000000000000004,0,11,3,1,374,1.8618,0.0541,0.9906,3,3,gpt-5.4-mini,2584,2357
s1__t1__gpt_5_4_mini__m7v2rb,0,17,8,8,0,0,0,12,2,2,1499,2.0445,0.0946,0.8909,3,3,gpt-5.4-mini,2821,2262
s1__t1__gpt_5_4_mini__m7v2rb,0,18,8,8,0,0,0,12,2,2,1499,2.0445,0.0946,0.8909,3,3,gpt-5.4-mini,7222,3240
s1__t1__gpt_5_4_mini__m7v2rb,0,19,9.16,6,8,5.2,0,12,3,2,245,1.2374,0.0345,0.9629,3,3,gpt-5.4-mini,8787,2609
s1__t1__gpt_5_4_mini__m7v2rb,0,20,8.54,6,4,5.8,0,12,3,2,223,1.1842,0.0357,0.9617,3,3,gpt-5.4-mini,1819,2475
s1__t1__gpt_5_4_mini__m7v2rb,0,21,9.540000000000001,7,7,3.8,0,11,3,1,404,2.1794,0.08,0.9879,3,3,gpt-5.4-mini,1903,2374
s1__t1__gpt_5_4_mini__m7v2rb,0,22,9.54,7,4,5.8,0,12,3,2,227,1.4177,0.0445,0.9488,3,3,gpt-5.4-mini,2830,3352
s1__t1__gpt_5_4_mini__m7v2rb,0,23,12.219999999999999,9,8,5.4,0,12,3,2,251,1.5197,0.0697,0.9199,3,3,gpt-5.4-mini,2284,2284
s1__t1__gpt_5_4_mini__m7v2rb,0,24,12.5,10,8,3,0,12,3,2,374,1.7985,0.1575,0.8086,3,3,gpt-5.4-mini,2635,2540
s1__t1__gpt_5_4_mini__m7v2rb,0,25,9.56,8,0,5.2,0,12,3,2,245,1.2374,0.0345,0.9629,3,3,gpt-5.4-mini,3268,3058
s1__t1__gpt_5_4_mini__m7v2rb,0,26,12.14,9,7,5.8,0,12,3,2,215,1.5175,0.0468,0.9495,3,3,gpt-5.4-mini,2516,2331
s1__t1__gpt_5_4_mini__m7v2rb,0,27,9.74,8,0,5.8,0,12,3,2,215,1.5175,0.0468,0.9495,3,3,gpt-5.4-mini,2667,2131
s1__t1__gpt_5_4_mini__m7v2rb,0,28,9.66,8,5,2.2,0,12,3,2,402,1.6473,0.0785,0.9203,3,3,gpt-5.4-mini,3048,2964
s1__t1__gpt_5_4_mini__m7v2rb,0,29,9.18,7,4,4.6,0,12,3,2,294,1.1719,0.038,0.9595,3,3,gpt-5.4-mini,3934,3699
s1__t1__gpt_5_4_mini__m7v2rb,0,30,10.4,9,7,0,0,12,3,2,591,1.9477,0.2034,0.7944,3,3,gpt-5.4-mini,5440,2268
s1__t1__gpt_5_4_mini__m7v2rb,0,31,9,8,5,0,0,12,3,2,598,1.9511,0.1222,0.8623,3,3,gpt-5.4-mini,4323,2671
s1__t1__gpt_5_4_mini__m7v2rb,0,32,10.4,9,7,0,0,12,3,2,839,1.4781,0.0847,0.9162,3,3,gpt-5.4-mini,5035,2264
s1__t1__gpt_5_4_mini__m7v2rb,0,33,8.6,8,3,0,0,12,3,2,995,1.3208,0.0815,0.9177,3,3,gpt-5.4-mini,5279,2323
s1__t1__gpt_5_4_mini__m7v2rb,0,34,8.2,7,6,0,0,12,3,2,691,1.8163,0.1085,0.8739,3,3,gpt-5.4-mini,6451,2311
s1__t1__gpt_5_4_mini__m7v2rb,0,35,8,8,0,0,0,12,3,2,995,1.3208,0.0815,0.9177,3,3,gpt-5.4-mini,4982,2336
s1__t1__gpt_5_4_mini__m7v2rb,0,36,8,8,0,0,0,12,3,2,995,1.3208,0.0815,0.9177,3,3,gpt-5.4-mini,5376,2761
s1__t1__gpt_5_4_mini__m7v2rb,0,37,10.4,9,7,0,0,12,3,2,1002,1.1788,0.1064,0.8958,3,3,gpt-5.4-mini,6228,2535
s1__t1__gpt_5_4_mini__m7v2rb,0,38,10.4,9,7,0,0,12,3,2,1066,1.4157,0.1127,0.8875,3,3,gpt-5.4-mini,5817,2433
s1__t1__gpt_5_4_mini__m7v2rb,0,39,10.6,9,8,0,0,12,4,2,881,1.9422,0.1746,0.8037,3,3,gpt-5.4-mini,7491,2292
s1__t1__gpt_5_4_mini__m7v2rb,0,40,10.4,9,7,0,0,12,3,2,988,1.5545,0.1147,0.8859,3,3,gpt-5.4-mini,5480,3391
s1__t1__gpt_5_4_mini__m7v2rb,0,41,8.4,7,7,0,0,12,4,2,897,2.0966,0.1905,0.7935,3,3,gpt-5.4-mini,13369,2332
s1__t1__gpt_5_4_mini__m7v2rb,0,42,8.4,7,7,0,0,12,3,2,1236,1.5084,0.1172,0.8737,3,3,gpt-5.4-mini,5716,2566
s1__t1__gpt_5_4_mini__m7v2rb,0,43,10.4,9,7,0,0,12,3,2,1075,2.3084,0.1362,0.842,3,3,gpt-5.4-mini,8701,2199
s1__t1__gpt_5_4_mini__m7v2rb,0,44,7.4,6,7,0,0,12,4,2,901,2.0241,0.1592,0.8128,3,3,gpt-5.4-mini,7031,2930
s1__t1__gpt_5_4_mini__m7v2rb,0,45,9,8,5,0,0,12,3,2,1007,1.7987,0.118,0.8575,3,3,gpt-5.4-mini,5874,2385
s1__t1__gpt_5_4_mini__m7v2rb,0,46,8.2,7,6,0,0,12,3,2,979,1.7206,0.1211,0.8605,3,3,gpt-5.4-mini,7012,2507
s1__t1__gpt_5_4_mini__m7v2rb,0,47,8.2,7,6,0,0,12,3,2,1594,1.1777,0.1064,0.88,3,3,gpt-5.4-mini,6928,2297
s1__t1__gpt_5_4_mini__m7v2rb,0,48,9,8,5,0,0,12,3,2,1490,1.397,0.1242,0.8806,3,3,gpt-5.4-mini,10652,2570
s1__t1__gpt_5_4_mini__m7v2rb,0,49,9,8,5,0,0,12,4,2,1125,1.5931,0.0999,0.8811,3,3,gpt-5.4-mini,8355,2407
s1__t1__gpt_5_4_mini__m7v2rb,0,50,8,8,0,0,0,12,3,2,1490,1.397,0.1242,0.8806,3,3,gpt-5.4-mini,8781,2324
s1__t1__gpt_5_4_mini__m7v2rb,0,51,10.2,9,6,0,0,12,4,2,1129,1.6444,0.1008,0.8723,3,3,gpt-5.4-mini,8420,2449
s1__t1__gpt_5_4_mini__m7v2rb,0,52,9.6,8,8,0,0,12,4,2,1498,2.0367,0.2611,0.7208,3,3,gpt-5.4-mini,8520,2369
s1__t1__gpt_5_4_mini__m7v2rb,0,53,10.2,9,6,0,0,12,4,2,1503,1.953,0.1527,0.8433,3,3,gpt-5.4-mini,11081,2478
s1__t1__gpt_5_4_mini__m7v2rb,0,54,9,8,5,0,0,12,3,2,1490,1.5077,0.1249,0.8778,3,3,gpt-5.4-mini,7652,3267
s1__t1__gpt_5_4_mini__m7v2rb,0,55,8.2,7,6,0,0,12,4,2,1491,1.7225,0.1094,0.8707,3,3,gpt-5.4-mini,9575,2378
s1__t1__gpt_5_4_mini__m7v2rb,0,56,10.2,9,6,0,0,12,4,2,1503,1.953,0.1527,0.8433,3,3,gpt-5.4-mini,14157,2348
s1__t1__gpt_5_4_mini__m7v2rb,0,57,8,7,5,0,0,12,4,2,1585,1.7968,0.1261,0.8617,3,3,gpt-5.4-mini,18127,2432
s1__t1__gpt_5_4_mini__m7v2rb,0,58,9.66,8,8,0.1999999999999993,0,12,3,2,576,1.4786,0.1268,0.8578,3,3,gpt-5.4-mini,3255,2651
s1__t1__gpt_5_4_mini__m7v2rb,0,59,8.06,8,0,0.1999999999999993,0,12,3,2,576,1.4786,0.1268,0.8578,3,3,gpt-5.4-mini,9026,2017
s1__t1__gpt_5_4_mini__m7v2rb,0,60,9.4,8,7,0,0,12,3,2,1690,1.4394,0.1231,0.8566,3,3,gpt-5.4-mini,5605,2371
s1__t1__gpt_5_4_mini__m7v2rb,0,61,8,8,0,0,0,12,3,2,1690,1.4394,0.1231,0.8566,3,3,gpt-5.4-mini,10503,2112
s1__t1__gpt_5_4_mini__m7v2rb,0,62,8,8,0,0,0,12,3,2,1690,1.4394,0.1231,0.8566,3,3,gpt-5.4-mini,13875,3320
s1__t1__gpt_5_4_mini__m7v2rb,0,63,6.8,6,4,0,0,12,3,2,2165,1.0414,0.0701,0.9232,3,3,gpt-5.4-mini,12872,3517
s1__t1__gpt_5_4_mini__m7v2rb,0,64,8,8,0,0,0,12,3,2,2165,1.0414,0.0701,0.9232,3,3,gpt-5.4-mini,15059,2416
s1__t1__gpt_5_4_mini__m7v2rb,0,65,7.8,7,4,0,0,12,3,2,2346,0.7769,0.013,0.9777,3,3,gpt-5.4-mini,10488,2824
s1__t1__gpt_5_4_mini__m7v2rb,0,66,8.8,8,4,0,0,12,3,2,1858,0.8492,0.0542,0.9383,3,3,gpt-5.4-mini,16513,2196
s1__t1__gpt_5_4_mini__m7v2rb,0,67,7.4,6,7,0,0,12,3,2,1805,0.809,0.0338,0.9498,3,3,gpt-5.4-mini,16799,2103
s1__t1__gpt_5_4_mini__m7v2rb,0,68,9.2,8,6,0,0,12,3,2,3036,0.6213,0.0553,0.9445,3,3,gpt-5.4-mini,18043,2474
s1__t1__gpt_5_4_mini__m7v2rb,0,69,10,9,5,0,0,12,3,2,2352,0.9587,0.0817,0.8966,3,3,gpt-5.4-mini,12591,2574
s1__t1__gpt_5_4_mini__m7v2rb,0,70,6.4,5,7,0,0,12,3,2,2290,0.8719,0.0125,0.9797,3,3,gpt-5.4-mini,15334,3242
s1__t1__gpt_5_4_mini__m7v2rb,0,71,7.4,6,7,0,0,12,3,2,2218,0.4871,0.023,0.9614,3,3,gpt-5.4-mini,11703,2352
s1__t1__gpt_5_4_mini__m7v2rb,0,72,9,8,5,0,0,12,3,2,2943,0.5756,0.0501,0.9763,3,3,gpt-5.4-mini,14867,2475
s1__t1__gpt_5_4_mini__m7v2rb,0,73,9.4,8,7,0,0,12,3,2,2728,0.5964,0.0476,0.9177,3,3,gpt-5.4-mini,22132,2623
s1__t1__gpt_5_4_mini__m7v2rb,0,74,6.4,5,7,0,0,12,4,2,5026,1.3158,0.0513,0.9319,3,3,gpt-5.4-mini,19770,2629
s1__t1__gpt_5_4_mini__m7v2rb,0,75,9.8,8,9,0,0,12,3,2,1837,1.4796,0.0874,0.8943,3,3,gpt-5.4-mini,17414,3036
s1__t1__gpt_5_4_mini__m7v2rb,0,76,9,9,0,0,0,12,3,2,2943,0.5756,0.0501,0.9763,2,2,gpt-5.4-mini,22455,2447
s1__t1__gpt_5_4_mini__m7v2rb,0,77,7.6,7,3,0,0,12,3,2,4068,0.583,0.0519,0.9727,3,3,gpt-5.4-mini,11324,3254
s1__t1__gpt_5_4_mini__m7v2rb,0,78,9.4,8,7,0,0,12,3,2,1941,0.7727,0.0581,0.8956,2,2,gpt-5.4-mini,24135,2425
s1__t1__gpt_5_4_mini__m7v2rb,0,79,8,7,5,0,0,12,3,2,5044,1.7537,0.0979,0.878,3,3,gpt-5.4-mini,12907,2575
s1__t1__gpt_5_4_mini__m7v2rb,0,80,9.4,8,7,0,0,12,3,2,1941,0.7727,0.0581,0.8956,3,3,gpt-5.4-mini,13122,2303
s1__t1__gpt_5_4_mini__m7v2rb,0,81,6,6,0,0,0,12,3,2,1941,0.7727,0.0581,0.8956,3,3,gpt-5.4-mini,5338,2350
