condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gpt_5_4_mini__m3v2rb,0,1,11.8,2,0,9.8,0,1,0,0,6,0.498,0.0089,1,3,3,gpt-5.4-mini,902,1987
s1__t3__gpt_5_4_mini__m3v2rb,0,2,11.8,2,0,9.8,0,1,0,0,6,0.498,0.0089,1,3,3,gpt-5.4-mini,865,1679
s1__t3__gpt_5_4_mini__m3v2rb,0,3,12.4,3,6,9.4,0,2,0,0,19,0.3628,0.0066,0.9926,3,3,gpt-5.4-mini,904,2187
s1__t3__gpt_5_4_mini__m3v2rb,0,4,15.2,6,8,9.2,0,4,1,0,29,1.9687,0.1424,0.8591,3,3,gpt-5.4-mini,843,1946
s1__t3__gpt_5_4_mini__m3v2rb,0,5,16.2,7,0,9.2,0,4,1,0,29,1.9687,0.1424,0.8591,3,3,gpt-5.4-mini,914,1962
s1__t3__gpt_5_4_mini__m3v2rb,0,6,12.4,3,7,9.4,0,2,0,0,19,0.3628,0.0065,0.9929,3,3,gpt-5.4-mini,872,2461
s1__t3__gpt_5_4_mini__m3v2rb,0,7,12.4,3,4,9.4,0,2,0,0,18,0.3628,0.0068,0.9925,3,3,gpt-5.4-mini,826,1697
s1__t3__gpt_5_4_mini__m3v2rb,0,8,11.4,2,1,9.4,0,2,0,0,18,0.3628,0.0067,0.9925,3,3,gpt-5.4-mini,794,2125
s1__t3__gpt_5_4_mini__m3v2rb,0,9,11.4,2,3,9.4,0,2,0,0,19,0.3628,0.0066,0.9929,3,3,gpt-5.4-mini,1358,1826
s1__t3__gpt_5_4_mini__m3v2rb,0,10,17.2,8,5,9.2,0,4,1,0,29,2.1988,0.1831,0.8435,3,3,gpt-5.4-mini,755,1783
s1__t3__gpt_5_4_mini__m3v2rb,0,11,15.2,6,5,9.2,0,4,1,0,29,2.1584,0.1676,0.8387,3,3,gpt-5.4-mini,772,2121
s1__t3__gpt_5_4_mini__m3v2rb,0,12,11.4,2,1,9.4,0,2,0,0,19,0.3628,0.0066,0.9929,3,3,gpt-5.4-mini,844,3069
s1__t3__gpt_5_4_mini__m3v2rb,0,13,11.4,2,3,9.4,0,2,0,0,18,0.3628,0.0065,0.993,3,3,gpt-5.4-mini,822,2826
s1__t3__gpt_5_4_mini__m3v2rb,0,14,11.4,2,2,9.4,0,2,0,0,19,0.3628,0.0066,0.9929,3,3,gpt-5.4-mini,733,2015
s1__t3__gpt_5_4_mini__m3v2rb,0,15,11.4,2,0,9.4,0,2,0,0,18,0.3628,0.0065,0.993,3,3,gpt-5.4-mini,924,1721
s1__t3__gpt_5_4_mini__m3v2rb,1,1,13.4,4,7,9.4,0,3,1,0,23,1.0652,0.031,0.9611,3,3,gpt-5.4-mini,843,1980
s1__t3__gpt_5_4_mini__m3v2rb,1,2,15,6,8,9,0,4,1,0,35,0.6857,0.0118,0.9856,3,3,gpt-5.4-mini,871,1850
s1__t3__gpt_5_4_mini__m3v2rb,1,3,11.4,2,0,9.4,0,3,1,0,23,1.0652,0.031,0.9611,3,3,gpt-5.4-mini,840,1838
s1__t3__gpt_5_4_mini__m3v2rb,1,4,12.4,3,1,9.4,0,3,1,0,23,1.1406,0.0306,0.9628,3,3,gpt-5.4-mini,808,2071
s1__t3__gpt_5_4_mini__m3v2rb,1,5,12,3,0,9,0,4,1,0,35,0.6857,0.0118,0.9856,3,3,gpt-5.4-mini,878,1947
s1__t3__gpt_5_4_mini__m3v2rb,1,6,11.4,2,0,9.4,0,3,1,0,23,1.0652,0.031,0.9611,3,3,gpt-5.4-mini,834,2983
s1__t3__gpt_5_4_mini__m3v2rb,1,7,12.2,3,6,9.2,0,2,0,0,25,0.9895,0.0177,0.9895,3,3,gpt-5.4-mini,780,2559
s1__t3__gpt_5_4_mini__m3v2rb,1,8,11.4,2,1,9.4,0,3,1,0,23,1.1406,0.0305,0.9633,3,3,gpt-5.4-mini,846,1780
s1__t3__gpt_5_4_mini__m3v2rb,1,9,11.2,2,1,9.2,0,2,0,0,24,0.6398,0.017,0.9898,3,3,gpt-5.4-mini,1290,2300
