condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t1__gemini_3_flash_preview,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,0,15,18.6,8,5,5.6,,gemini-3-flash-preview,1,1,,,9,4,403,2.5282,0.522,3,completed,393485,
s1__t1__gemini_3_flash_preview,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,1,15,22.4,8,7,7.4,,gemini-3-flash-preview,1,1,,,6,3,202,2.3811,0.4693,1,completed,403360,
s1__t1__gemini_3_flash_preview,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,2,15,21.8,8,7,6.8,,gemini-3-flash-preview,1,1,,,7,4,311,2.1519,0.4063,3,completed,387842,
s1__t1__gemini_3_flash_preview,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,0,15,13,6,1,6,,gemini-3-flash-preview,1,1,,,10,4,338,1.1558,0.0921,4,completed,371400,
s1__t1__gemini_3_flash_preview,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,1,15,14,7,1,6,,gemini-3-flash-preview,1,1,,,10,2,411,2.0092,0.3545,3,completed,334211,
s1__t1__gemini_3_flash_preview,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,2,15,23,7,9,7,,gemini-3-flash-preview,1,1,,,8,2,340,1.3427,0.2573,2,completed,352395,
s1__t1__gpt_5_4_mini,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,21.6,7,8,6.6,,gemini-3-flash-preview,2,,,,9,2,109,1.6437,0.1728,1,completed,59008,
s1__t1__gpt_5_4_mini,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11.8,8,3,0.8000000000000007,,gemini-3-flash-preview,2,,,,10,3,288,2.3039,0.3137,0,completed,63340,
s1__t1__gpt_5_4_mini,evolution,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,16.2,8,3,5.2,,gemini-3-flash-preview,2,,,,11,1,178,1.7762,0.168,1,completed,51074,
s1__t1__gpt_5_4_mini,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,2,1,1,0,1,gemini-3-flash-preview,2,,-1.00,,12,2,1216,0,0,0,completed,64450,
s1__t1__gpt_5_4_mini,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,2,1,1,0,1,gemini-3-flash-preview,2,,-1.00,,14,2,1466,0,0,0,completed,69338,
s1__t1__gpt_5_4_mini,feedback_only,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,2,1,1,0,1,gemini-3-flash-preview,2,,-1.00,,14,2,1265,0,0,1,completed,75324,
s1__t2__gemini_3_flash_preview,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,0,15,18.6,5,8,5.6,,gemini-3-flash-preview,2,4,,,15,1,349,2.0234,0.3139,0,completed,420194,
s1__t2__gemini_3_flash_preview,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,1,15,20.8,8,7,5.8,1,gemini-3-flash-preview,2,4,-1.00,-3.00,11,2,332,0,0,3,completed,342849,
s1__t2__gemini_3_flash_preview,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,2,15,21.4,8,5,8.4,7,gemini-3-flash-preview,2,4,5.00,3.00,6,1,361,2.3231,0.0462,1,completed,326953,
s1__t2__gemini_3_flash_preview,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,0,15,13.8,6,1,6.8,,gemini-3-flash-preview,2,4,,,10,3,397,1.4637,0.0241,4,completed,376107,
s1__t2__gemini_3_flash_preview,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,1,15,8.2,1,1,6.2,1,gemini-3-flash-preview,2,4,-1.00,-3.00,15,1,355,0.1161,0,4,completed,357709,
s1__t2__gemini_3_flash_preview,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gemini-3-flash-preview,2,15,21.8,8,7,6.8,1,gemini-3-flash-preview,2,4,-1.00,-3.00,14,2,344,0,0,1,completed,279899,
s1__t2__gpt_5_4_mini,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,18,7,5,6,,gemini-3-flash-preview,1,4,,,8,2,308,0.6328,0.0075,2,completed,64057,
s1__t2__gpt_5_4_mini,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,10,8,2,0,,gemini-3-flash-preview,1,4,,,10,1,1037,0.512,0.0097,1,completed,70022,
s1__t2__gpt_5_4_mini,evolution,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,6,5,1,0,2,gemini-3-flash-preview,1,4,1.00,-2.00,9,1,1026,0.7167,0.0096,2,completed,65510,
s1__t2__gpt_5_4_mini,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,2,1,1,0,1,gemini-3-flash-preview,1,4,0.00,-3.00,8,1,760,0,0,0,completed,52394,
s1__t2__gpt_5_4_mini,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,2,1,1,0,1,gemini-3-flash-preview,1,4,0.00,-3.00,12,1,1172,0,0,1,completed,59045,
s1__t2__gpt_5_4_mini,feedback_only,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,2,1,1,0,1,gemini-3-flash-preview,1,4,0.00,-3.00,12,1,817,0,0,0,completed,54236,
s1__t3__gemini_3_flash_preview,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,0,15,16.8,4,5,7.8,,gemini-3-flash-preview,1,1,,,10,2,325,2.2357,0.4184,1,completed,320429,
s1__t3__gemini_3_flash_preview,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,1,15,23.6,8,9,6.6,,gemini-3-flash-preview,1,1,,,7,3,378,2.516,0.3763,5,completed,350537,
s1__t3__gemini_3_flash_preview,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,2,15,19,1,10,8,1,gemini-3-flash-preview,1,1,0.00,0.00,10,2,259,0,0,1,completed,319014,
s1__t3__gemini_3_flash_preview,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,0,15,20.2,6,7,7.2,,gemini-3-flash-preview,1,1,,,10,2,364,2.2428,0.1686,3,completed,282384,
s1__t3__gemini_3_flash_preview,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,1,15,8.2,1,1,6.2,1,gemini-3-flash-preview,1,1,0.00,0.00,12,3,447,0,0,2,completed,242109,
s1__t3__gemini_3_flash_preview,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-3-flash-preview,2,15,17.6,6,5,6.6,,gemini-3-flash-preview,1,1,,,13,2,351,2.2532,0.37,2,completed,251548,
s1__t3__gpt_5_4_mini,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,0,15,5,4,1,0,3,gemini-3-flash-preview,1,1,2.00,2.00,14,2,2151,2.1523,0.2787,2,completed,91722,
s1__t3__gpt_5_4_mini,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,1,15,2,1,1,0,1,gemini-3-flash-preview,1,1,0.00,0.00,13,5,3583,0.0369,0.0002,3,completed,153205,
s1__t3__gpt_5_4_mini,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,2,15,14,8,6,0,,gemini-3-flash-preview,1,1,,,10,1,2341,0.7767,0.0284,0,completed,148669,
s1__t3__gpt_5_4_mini,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,0,15,2,1,1,0,1,gemini-3-flash-preview,1,1,0.00,0.00,12,2,2652,0,0,1,completed,87339,
s1__t3__gpt_5_4_mini,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,1,15,2,1,1,0,1,gemini-3-flash-preview,1,1,0.00,0.00,11,3,1890,0,0,0,completed,102307,
s1__t3__gpt_5_4_mini,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gpt-5.4-mini,2,15,2,1,1,0,1,gemini-3-flash-preview,1,1,0.00,0.00,13,3,3170,0,0,0,completed,104342,
s2__t1__gemini_3_flash_preview,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,0,15,22.6,9,7,6.6,,gemini-3-flash-preview,1,1,,,12,1,295,2.2232,0.4599,2,completed,390320,
s2__t1__gemini_3_flash_preview,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,1,15,24,9,8,7,,gemini-3-flash-preview,1,1,,,6,3,243,2.2431,0.5749,4,completed,348112,
s2__t1__gemini_3_flash_preview,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,2,15,24,8,9,7,,gemini-3-flash-preview,1,1,,,14,1,222,2.2168,0.278,5,completed,372647,
s2__t1__gemini_3_flash_preview,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,0,15,17,8,7,2,,gemini-3-flash-preview,1,1,,,12,2,536,2.3114,0.4214,2,completed,331881,
s2__t1__gemini_3_flash_preview,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,1,15,13,6,1,6,,gemini-3-flash-preview,1,1,,,9,4,382,1.4509,0.0822,5,completed,377305,
s2__t1__gemini_3_flash_preview,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gemini-3-flash-preview,2,15,13,4,9,0,,gemini-3-flash-preview,1,1,,,12,2,879,0.8648,0.0233,4,completed,325620,
s2__t1__gpt_5_4_mini,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,18.4,8,8,2.4000000000000004,,gemini-3-flash-preview,2,6,,,6,2,323,1.8316,0.1311,1,completed,74443,
s2__t1__gpt_5_4_mini,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,5.4,1,0,4.4,1,gemini-3-flash-preview,2,6,-1.00,-5.00,9,2,258,0,0,3,completed,70332,
s2__t1__gpt_5_4_mini,evolution,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,11,8,3,0,,gemini-3-flash-preview,2,6,,,12,2,940,1.9458,0.0994,1,completed,99419,
s2__t1__gpt_5_4_mini,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,2,1,1,0,1,gemini-3-flash-preview,2,6,-1.00,-5.00,15,1,855,0,0,1,completed,63310,
s2__t1__gpt_5_4_mini,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,20.4,6,7,7.4,,gemini-3-flash-preview,2,6,,,7,2,104,2.3649,0.2749,1,completed,48059,
s2__t1__gpt_5_4_mini,feedback_only,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,2,1,1,0,1,gemini-3-flash-preview,2,6,-1.00,-5.00,14,1,542,0,0,0,completed,59436,
