condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,6.387799999999999,6,7,,gemini-3-flash-preview,,,,,3,0,78,1.985,0.1799,completed,59246,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,8,8,0,,gemini-3-flash-preview,,,,,2,0,116,2.4243,0.2967,completed,57042,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,3.9520867285119987,9,8,,gemini-3-flash-preview,,,,,8,0,110,2.3323,0.3054,completed,53098,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.5,6,7,,gemini-3-flash-preview,,,,,4,0,46,2.3407,0.3001,completed,46005,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,8,6,4,,gemini-3-flash-preview,,,,,7,0,184,2.1388,0.2061,completed,45448,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,12,9,6,,gemini-3-flash-preview,,,,,4,0,42,2.5502,0.5032,completed,42591,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,6.616415999999998,9,6,7,gemini-3-flash-preview,,,,,4,0,41,2.5997,0.4773,completed,68697,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,1.5,1,1,1,gemini-3-flash-preview,,,,,7,0,250,0,0,completed,77727,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,4.078138275199999,7,8,,gemini-3-flash-preview,,,,,5,0,46,1.9874,0.11,completed,74936,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.5,8,3,,gemini-3-flash-preview,,,,,4,0,63,1.3974,0.1192,completed,44567,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11,9,4,,gemini-3-flash-preview,,,,,3,0,35,2.3654,0.3497,completed,44114,
s1__t1__gpt_5_4_mini__m5v4rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9,8,2,,gemini-3-flash-preview,,,,,5,0,51,1.9067,0.2955,completed,43121,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8,8,0,,gemini-3-flash-preview,,,,,9,0,130,1.2163,0.02,completed,60035,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,5,5,0,,gemini-3-flash-preview,,,,,2,0,73,1.9817,0.168,completed,55340,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,5.33,5,3,,gemini-3-flash-preview,,,,,2,0,60,1.3915,0.1108,completed,55147,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10,8,4,,gemini-3-flash-preview,,,,,6,0,165,1.3119,0.0236,completed,53956,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,7.5,7,1,,gemini-3-flash-preview,,,,,6,1,204,1.0181,0.0221,completed,48198,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,9.5,7,5,,gemini-3-flash-preview,,,,,5,0,242,2.3585,0.3362,completed,52190,
s1__t2__gpt_5_4_mini__m5v4rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8.405,9,7,,gemini-3-flash-preview,,,,,2,0,88,2.2901,0.468,completed,70949,
