condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,10.2,2,0,8.2,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,5,2,97,0.5646,0.005,0,completed,54266,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,9.6,2,3,7.6,1,1,,1.00,2,2,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,8,1,103,0.4281,0.0094,0,completed,56512,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,12.8,4,2,8.8,2,2,,2.00,4,3,,4.00,2,7,0.00,-5.00,3,7,1.00,-3.00,6,2,107,2.5203,0.2369,0,completed,57130,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,12.6,4,6,8.6,2,2,,2.00,6,4,,6.00,2,7,0.00,-5.00,3,7,3.00,-1.00,6,1,56,1.506,0.1622,0,completed,50218,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,11.4,3,2,8.4,2,2,,2.00,4,3,,4.00,2,7,0.00,-5.00,3,7,1.00,-3.00,6,1,57,0.6547,0.0201,0,completed,52483,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,8.4,2,3,6.4,1,1,,1.00,2,2,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,13,2,207,0.6777,0.0146,0,completed,57068,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,8.4,1,1,7.4,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,10,2,196,0.3473,0.0014,0,completed,61366,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,2,15,7.4,1,1,6.4,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,12,2,211,0.498,0.0044,0,completed,51209,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,3,15,7,7,8,0,3,2,,3.00,8,6,,8.00,2,7,1.00,-4.00,3,7,5.00,1.00,9,0,483,1.1126,0.0736,0,completed,52988,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,4,15,7.8,1,1,6.8,1,1,,1.00,2,1,,2.00,2,7,-1.00,-6.00,3,7,-1.00,-5.00,11,2,195,0.3532,0.0034,0,completed,46675,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,0,15,8.8,2,0,6.8,1,1,,1.00,1,1,,1.00,2,7,-1.00,-6.00,3,7,-2.00,-6.00,9,2,143,0,0,1,completed,64782,
s1__t3__gpt_5_4_mini__m5v2rb,evolution,Line,Parallel undulating coloured stripes creating optical vibration — alternating warm and cool saturated colours with precise spacing.,gpt-5.4-mini,1,15,11,5,7,6,2,1,,2.00,2,1,,2.00,2,7,0.00,-5.00,3,7,-1.00,-5.00,9,1,126,0.306,0.0045,0,completed,65358,
