condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,0,9,3,4061,0,2.0994,0.0895,0.9133,0.5247,9913,6,4,8,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,1,13,2,1098,0,1.0357,0.0095,0.9882,0.6304,5309,2,1,4,2
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,2,12,2,910,0,1.5616,0.0461,0.9516,0.7588,4024,7,6,7,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,3,11,2,655,0,0.5896,0.0044,0.9978,0.0034,3726,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,4,15,3,1511,0,0.6295,0.0273,0.9748,0.2026,4827,2,3,4,5
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,5,10,2,706,0,0,0,1,0,2796,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,6,15,1,3060,0,1.6236,0.0998,0.9365,0.5309,9422,5,5,7,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,7,14,1,1607,0,0.4807,0.006,0.9979,0.5316,6193,1,1,2,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,8,11,2,1112,0,0.772,0.0161,0.9869,0.656,4313,2,1,6,4
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley,,9,10,1,1349,0,0,0,1,0.7558,4726,1,1,1,1
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley,Line,0,10,2,500,4.2,0.3943,0.0043,0.9968,0.0389,2155,1,1,2,2
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley,Line,1,10,2,920,0,1.3633,0.0715,0.96,0.3985,3214,4,4,6,4
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley,Line,2,12,2,859,0,2.0795,0.1062,0.8967,0.7431,3258,5,6,7,6
