condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2db,0,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1137,1645
s1__t1__gpt_5_4_mini__m5v2db,0,2,10,7,6,2,0,0,50,2.4455,0.2894,0.9463,3,3,gpt-5.4-mini,874,2378
s1__t1__gpt_5_4_mini__m5v2db,0,3,9.5,6,7,3,0,0,53,2.3953,0.2591,0.8909,3,3,gpt-5.4-mini,2205,1725
s1__t1__gpt_5_4_mini__m5v2db,0,4,12,9,6,3,0,0,53,2.3713,0.2951,0.8994,3,3,gpt-5.4-mini,883,2141
s1__t1__gpt_5_4_mini__m5v2db,0,5,10.5,8,5,3,0,0,53,2.3765,0.2893,0.8996,3,3,gpt-5.4-mini,939,1919
s1__t1__gpt_5_4_mini__m5v2db,0,6,11.5,8,7,3,0,0,54,2.5924,0.4041,0.9699,3,3,gpt-5.4-mini,873,3380
s1__t1__gpt_5_4_mini__m5v2db,0,7,11.5,9,5,3,0,0,54,2.6477,0.4616,0.8169,3,3,gpt-5.4-mini,854,2718
s1__t1__gpt_5_4_mini__m5v2db,0,8,8,8,0,3,0,0,54,2.6477,0.4616,0.8169,3,3,gpt-5.4-mini,1125,2152
s1__t1__gpt_5_4_mini__m5v2db,0,9,12.5,9,7,4,0,0,67,2.555,0.3876,0.945,3,3,gpt-5.4-mini,957,2085
s1__t1__gpt_5_4_mini__m5v2db,0,10,9.5,7,5,4,0,0,92,2.5522,0.5046,0.9608,3,3,gpt-5.4-mini,1021,2277
s1__t1__gpt_5_4_mini__m5v2db,0,11,12.5,9,7,4,0,0,92,2.566,0.3936,0.9357,3,3,gpt-5.4-mini,992,2521
s1__t1__gpt_5_4_mini__m5v2db,0,12,11.5,9,5,4,0,0,92,2.5835,0.3922,0.9455,3,3,gpt-5.4-mini,1037,1903
s1__t1__gpt_5_4_mini__m5v2db,0,13,11,8,6,4,0,0,91,2.5802,0.3977,0.9382,3,3,gpt-5.4-mini,2451,2100
