condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,0,15,2,3604,0,1.0978,0.0144,0.9988,0.6639,71403,3,3
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,1,15,1,3867,0,0.4874,0.058,0.9755,0.6742,74488,7,7
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,2,16,2,3067,0,1.0377,0.1167,0.9517,0.6438,77354,7,8
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,3,15,2,2902,0,1.6202,0.173,0.8922,0.6933,82216,9,8
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,4,15,2,3268,0,1.5647,0.0668,0.9521,0.5857,74145,9,8
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,5,15,2,3017,0,2.0914,0.2787,0.8883,0.6488,79531,8,8
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,6,14,2,2040,0,0.4951,0.0609,0.9481,0.6938,25906,8,7
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,7,18,2,3787,0,1.3599,0.2188,0.9359,0.7203,75138,8,7
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,8,13,2,3480,0,1.0071,0.0886,0.949,0.4011,63717,6,7
t1__gpt_5_5,from_scratch,gpt-5.5,Intricate asymmetric patterns with heavy use of color,,9,13,2,3137,0,0.6585,0.0652,0.9452,0.6123,26417,8,7
t1__gpt_5_5,single_edit,gpt-5.5,Intricate asymmetric patterns with heavy use of color,Line,0,12,1,3053,0,0.962,0.069,0.9555,0.4291,37530,8,7
t1__gpt_5_5,single_edit,gpt-5.5,Intricate asymmetric patterns with heavy use of color,Line,5,13,2,1332,0.40000000000000036,1.9263,0.227,0.8802,0.4925,38855,8,7
