condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,0,11,2,752,0,0.8354,0.0846,0.9533,0.2982,3575,4,5,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,1,17,2,1307,0,0.1756,0.0061,0.9975,0.0882,5743,2,2,2,2
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,2,12,2,1241,0,0.3585,0.0054,0.9981,0.1908,4458,2,2,2,2
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,3,11,2,2742,0,0.5534,0.0173,0.9979,0.621,11765,5,4,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,4,12,2,1835,0,1.2245,0.0723,0.9652,0.5657,5424,5,4,7,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,5,10,1,2819,0,1.0965,0.0276,0.9831,0.6414,8049,4,3,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,6,14,2,1847,0,0.1474,0.0113,0.9951,0.6444,5763,4,5,7,6
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,7,11,2,777,0,0.5402,0.0159,0.9856,0.2627,3743,2,2,3,4
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,8,9,2,1235,0,0.5785,0.0097,0.9969,0.182,4372,3,4,6,4
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",,9,10,2,592,0,0.831,0.0707,0.9199,0.707,2545,3,2,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,0,10,1,608,0,0.8666,0.0068,0.9933,0.7079,2861,2,3,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,1,10,1,520,0,1.3561,0.1531,0.8228,0.6294,2436,4,5,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,2,11,2,666,0,1.0111,0.1425,0.8089,0.4803,3123,6,7,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,3,11,1,498,1.4000000000000004,1.0089,0.0136,0.9997,0.7744,2463,2,1,2,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",Line,4,9,2,524,0,1.1217,0.0517,0.9488,0.5264,2275,6,5,7,6
