condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,0,13,1,2171,0,1.3423,0.0981,0.9033,0.6396,9855,5,6,7,8
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,1,11,1,2109,0,0.6091,0.0374,0.987,0.3121,9082,5,4,6,7
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,2,12,2,884,0,0,0,1,0.7744,3634,1,1,1,1
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,3,14,1,1620,0,0.8964,0.076,0.9727,0.5552,9428,7,6,6,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,4,12,2,2394,0,0.2023,0.0122,0.9884,0.7744,8068,2,2,4,3
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,5,15,1,1439,0,1.4458,0.0547,0.9717,0.6604,6283,4,5,7,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,6,13,1,1016,0,0.5554,0.0346,0.9892,0.4367,4919,3,4,6,4
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,7,11,2,2355,0,0.1656,0.0093,0.9977,0.4533,8368,2,3,3,4
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,8,12,1,931,0,0.6101,0.0339,0.9684,0.5515,4456,6,6,7,6
t3__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Depth and layered transparency,,9,13,1,2298,0,1.2726,0.188,0.9212,0.765,8931,4,6,7,8
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,0,15,2,2333,0,0.9749,0.089,0.9589,0.3871,7704,3,4,6,7
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,1,15,1,1552,0,1.1481,0.05,0.9614,0.7365,6817,6,7,7,6
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,2,13,3,517,2.5999999999999996,1.2484,0.0775,0.9723,0.559,2326,5,4,7,8
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,3,18,1,2214,0,0.887,0.0525,0.9671,0.752,7346,4,5,7,6
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,4,15,3,1112,0,0,0,1,0,4154,1,1,1,1
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,5,14,2,1349,0,1.3999,0.1627,0.9449,0.7397,4948,5,7,7,8
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,6,14,2,1645,0,1.3377,0.0731,0.9625,0.5458,5395,5,6,6,7
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,7,13,2,1326,0,0.8854,0.0897,0.9572,0.7186,6021,3,2,6,7
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,8,13,2,2544,0,0.7836,0.0401,0.9927,0.3641,8622,3,4,6,5
t4__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Controlled chaos — structured randomness,,9,13,2,1219,0,1.5963,0.0593,0.9743,0.7732,4587,7,6,7,6
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,0,12,2,1705,0,0.1474,0.0009,0.9995,0.7564,6042,1,1,1,2
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,1,11,1,2389,0,0.5604,0.0355,0.983,0.7054,8929,4,3,4,5
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,2,10,2,906,0,0.7935,0.0188,0.9825,0.259,3756,2,3,4,3
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,3,13,1,1664,0,1.0537,0.1338,0.9329,0.6952,5864,4,5,6,5
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,4,12,2,1116,0,0.5466,0.0017,0.999,0.061,5164,2,3,3,4
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,5,12,2,3057,0,1.0469,0.0726,0.9764,0.5607,8986,3,4,6,7
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,6,12,2,1309,0,0,0,1,0.5688,6843,1,1,1,1
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,7,10,2,5692,0,0,0,1,0,14727,1,1,1,1
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,8,13,3,3424,0,0,0,1,0,10414,1,1,1,1
t5__gpt_5_4_mini,from_scratch,gpt-5.4-mini,The dense interlocking pattern of a woven textile,,9,11,2,1617,0,0.4296,0.0045,0.9988,0.0239,5855,2,2,3,2
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,0,11,1,1489,0,1.0414,0.0373,0.9861,0.4523,7942,3,4,6,7
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,1,17,2,2274,0,0.3257,0.0478,0.9835,0.6062,7247,4,6,6,7
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,2,11,2,1031,0,1.2888,0.0399,0.9857,0.7127,3702,4,3,6,7
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,3,12,1,1149,0,0.0737,0.0011,0.999,0.057,5531,2,2,1,2
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,4,14,1,1564,0,0.8283,0.048,0.9709,0.7226,5588,4,5,6,7
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,5,13,3,1490,0,0.47,0.0191,0.9927,0.4349,5069,7,6,7,6
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,6,12,1,3206,0,1.0572,0.0345,0.9708,0.6151,10642,3,4,5,6
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,7,14,1,2121,0,1.2465,0.035,0.9886,0.7193,7435,3,4,6,7
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,8,13,3,691,0,2.2715,0.2712,0.9206,0.7036,3305,5,5,7,8
t6__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Visual tension — forces pulling against each other,,9,13,2,1147,0,0.9528,0.045,0.9731,0.3152,4635,4,5,6,7
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,0,13,2,1417,0,0.5919,0.0239,0.9939,0.6021,5077,3,2,6,3
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,1,12,1,1075,0,0.9078,0.1459,0.9749,0.6996,4902,6,5,8,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,2,12,2,764,0,2.3931,0.3948,0.8741,0.7365,3990,8,6,8,7
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,3,12,1,869,0,0.9984,0.0736,0.9555,0.4997,4309,4,6,7,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,4,13,1,675,0,0.0369,0,1,0.072,5250,1,1,1,1
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,5,14,2,910,0,0.4735,0.0532,0.9446,0.5424,4773,5,6,7,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,6,13,2,2104,0,0.5864,0.0573,0.9633,0.7208,9119,4,5,7,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,7,11,2,924,0,0.8404,0.0611,0.9806,0.7606,4006,5,6,7,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,8,13,1,790,0,0.4433,0.0351,0.9964,0.3424,3435,4,5,7,6
t7__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Simple elements creating unexpected complexity,,9,12,2,1106,0,0.7157,0.055,0.9898,0.5986,5244,4,5,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,0,12,1,416,0.8000000000000007,0.6817,0.1024,0.918,0.5922,2942,6,5,7,5
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,1,12,2,1338,0,1.1528,0.0663,0.9468,0.7547,4620,8,6,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,2,11,2,838,0,0.845,0.0934,0.9613,0.7744,3378,7,6,8,7
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,3,12,2,1070,0,0.5988,0.0064,0.9938,0.4394,3966,1,1,3,2
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,4,12,2,746,0,1.7871,0.1873,0.8485,0.6605,3217,4,5,7,8
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,5,12,1,707,0,0.4315,0.0316,0.9769,0.4328,3083,4,5,6,5
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,6,10,2,460,3.4000000000000004,0.6454,0.0412,0.9766,0.3504,2992,4,3,6,4
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,7,10,2,813,0,1.9194,0.1952,0.9371,0.7572,3315,3,2,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,8,13,1,547,0,1.3875,0.1743,0.9421,0.7271,2891,7,6,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,9,12,1,1801,0,0.9338,0.0638,0.962,0.6587,6556,5,6,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,0,13,1,625,1.5999999999999996,0.6219,0.006,0.9988,0.1526,2894,2,3,4,3
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,1,11,1,435,0.8000000000000007,0.574,0.006,0.9993,0.1547,2935,2,1,3,2
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,2,12,3,828,0,0.5499,0.02,0.99,0.1784,3757,4,3,4,3
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,3,11,2,863,0,0.3961,0.052,0.9697,0.6817,3282,5,3,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,4,14,1,849,0,1.048,0.0511,0.9787,0.6123,4170,3,2,7,6
t3__gpt_5_4_mini,single_edit,gpt-5.4-mini,Depth and layered transparency,Line,5,13,1,419,0.5999999999999996,0.3365,0.0079,0.993,0.6411,4550,3,4,3,2
