condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,11.4,2,0,9.4,1,1,2,1,7,7,-6.00,-6.00,8,8,-6.00,-6.00,2,0,18,0.3628,0.0065,0,completed,45098,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,14,5,0,9,2,2,6,3,7,7,-5.00,-5.00,8,8,-2.00,-2.00,4,1,35,0.6547,0.0103,0,completed,45887,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,12.6,4,0,8.6,1,1,2,1,7,7,-6.00,-6.00,8,8,-6.00,-6.00,7,1,62,0.796,0.0109,0,completed,48257,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,11.4,3,6,8.4,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,8,1,67,0,0,1,completed,54786,
s1__t3__gpt_5_4_mini__m3v2rb,evolution,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,16.6,8,1,8.6,3,2,8,5,7,7,-4.00,-4.00,8,8,0.00,0.00,7,1,58,1.054,0.0921,0,completed,49705,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,0,15,10,4,3,6,2,2,3,2,7,7,-5.00,-5.00,8,8,-5.00,-5.00,7,2,164,0.7566,0.0134,0,completed,50985,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,1,15,8.4,1,1,7.4,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,9,1,110,0,0,0,completed,41120,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,2,15,5.2,1,1,4.2,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,11,2,203,0,0,0,completed,45011,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,3,15,8.4,1,1,7.4,1,1,1,1,7,7,-6.00,-6.00,8,8,-7.00,-7.00,9,2,107,0,0,0,completed,45172,
s1__t3__gpt_5_4_mini__m3v2rb,feedback_only,Line,In the style of Bridget Riley,gpt-5.4-mini,4,15,10,3,2,7,2,1,3,3,7,7,-5.00,-5.00,8,8,-5.00,-5.00,9,1,120,1.2116,0.0236,0,completed,44035,
