condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2rb,0,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1021,3486
s1__t1__gpt_5_4_mini__m5v2rb,0,2,12.5,9,7,2,0,0,50,2.4455,0.2894,0.9463,3,3,gpt-5.4-mini,894,2844
s1__t1__gpt_5_4_mini__m5v2rb,0,3,8,8,0,2,0,0,50,2.4455,0.2894,0.9463,3,3,gpt-5.4-mini,1290,2177
s1__t1__gpt_5_4_mini__m5v2rb,0,4,10,6,8,3,0,0,78,2.2821,0.2756,0.7714,3,3,gpt-5.4-mini,1038,2665
s1__t1__gpt_5_4_mini__m5v2rb,0,5,10.5,8,5,3,0,0,78,2.2671,0.2643,0.7654,3,3,gpt-5.4-mini,1356,2373
s1__t1__gpt_5_4_mini__m5v2rb,0,6,8,8,0,3,0,0,78,2.2671,0.2643,0.7654,3,3,gpt-5.4-mini,1313,2236
s1__t1__gpt_5_4_mini__m5v2rb,0,7,11,8,6,3,0,0,78,2.281,0.2752,0.7438,3,3,gpt-5.4-mini,1114,2475
s1__t1__gpt_5_4_mini__m5v2rb,0,8,3.859575999999999,7,0,3,0,0,78,2.2821,0.2756,0.7714,3,3,gpt-5.4-mini,1065,2575
s1__t1__gpt_5_4_mini__m5v2rb,0,9,7.789999999999999,8,3,3,0,0,78,2.282,0.2884,0.7703,3,3,gpt-5.4-mini,2382,1892
s1__t1__gpt_5_4_mini__m5v2rb,0,10,7,7,0,3,0,0,78,2.282,0.2884,0.7703,3,3,gpt-5.4-mini,1079,2223
s1__t1__gpt_5_4_mini__m5v2rb,0,11,5.715399999999999,7,3,3,0,0,78,2.286,0.2773,0.7723,3,3,gpt-5.4-mini,967,2595
s1__t1__gpt_5_4_mini__m5v2rb,0,12,9,8,2,3,0,0,78,2.2941,0.2769,0.7704,3,3,gpt-5.4-mini,2299,2467
s1__t1__gpt_5_4_mini__m5v2rb,0,13,8.61,7,7,3,0,0,78,2.3142,0.2925,0.7466,3,3,gpt-5.4-mini,1037,2222
s1__t1__gpt_5_4_mini__m5v2rb,0,14,6.340731999999998,9,5,3,0,0,78,2.3219,0.302,0.7826,3,3,gpt-5.4-mini,1141,3615
s1__t1__gpt_5_4_mini__m5v2rb,0,15,6.387799999999999,6,7,3,0,0,78,1.985,0.1799,0.8015,3,3,gpt-5.4-mini,1096,2180
s1__t1__gpt_5_4_mini__m5v2rb,1,1,11,8,6,2,0,0,55,2.4558,0.292,0.9464,3,3,gpt-5.4-mini,1172,2189
s1__t1__gpt_5_4_mini__m5v2rb,1,2,8,8,0,2,0,0,55,2.4558,0.292,0.9464,3,3,gpt-5.4-mini,1158,2336
s1__t1__gpt_5_4_mini__m5v2rb,1,3,8.2,8,4,2,0,0,86,2.4583,0.3017,0.9535,3,3,gpt-5.4-mini,1267,2503
s1__t1__gpt_5_4_mini__m5v2rb,1,4,10.5,9,3,2,0,0,85,2.4473,0.2974,0.9526,3,3,gpt-5.4-mini,1152,2311
s1__t1__gpt_5_4_mini__m5v2rb,1,5,4.295156719999999,7,5,3,0,1,58,2.5504,0.317,0.9289,3,3,gpt-5.4-mini,1173,2288
s1__t1__gpt_5_4_mini__m5v2rb,1,6,12.5,9,7,3,0,2,92,2.5465,0.3295,0.9291,3,3,gpt-5.4-mini,1207,2560
s1__t1__gpt_5_4_mini__m5v2rb,1,7,3.707398431999999,8,4,2,0,0,86,2.4583,0.3017,0.9535,3,3,gpt-5.4-mini,1363,2176
s1__t1__gpt_5_4_mini__m5v2rb,1,8,4.962311999999999,7,4,2,0,0,85,2.4141,0.2751,0.9376,3,3,gpt-5.4-mini,1182,2046
s1__t1__gpt_5_4_mini__m5v2rb,1,9,8.2,9,2,2,0,0,116,2.4243,0.2967,0.9623,3,3,gpt-5.4-mini,1604,2555
s1__t1__gpt_5_4_mini__m5v2rb,1,10,10.5,9,3,2,0,0,116,2.4535,0.2998,0.9512,3,3,gpt-5.4-mini,1200,2339
s1__t1__gpt_5_4_mini__m5v2rb,1,11,4.069095839999999,8,2,3,0,3,126,2.5484,0.3299,0.9283,3,3,gpt-5.4-mini,1334,2617
s1__t1__gpt_5_4_mini__m5v2rb,1,12,6.051599999999999,8,2,2,0,0,116,2.4243,0.2967,0.9622,3,3,gpt-5.4-mini,1482,2570
s1__t1__gpt_5_4_mini__m5v2rb,1,13,8,8,0,2,0,0,116,2.4243,0.2967,0.9622,3,3,gpt-5.4-mini,1383,2496
s1__t1__gpt_5_4_mini__m5v2rb,1,14,8,8,0,2,0,0,116,2.4243,0.2967,0.9622,3,3,gpt-5.4-mini,1148,1985
s1__t1__gpt_5_4_mini__m5v2rb,1,15,8,8,0,2,0,0,116,2.4243,0.2967,0.9622,3,3,gpt-5.4-mini,1270,2768
s1__t1__gpt_5_4_mini__m5v2rb,2,1,6,2,8,6,0,1,65,0.5464,0.0174,0.9889,3,3,gpt-5.4-mini,1056,2309
s1__t1__gpt_5_4_mini__m5v2rb,2,2,7.38,9,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1072,2096
s1__t1__gpt_5_4_mini__m5v2rb,2,3,6.387799999999999,6,7,7,0,1,73,1.8944,0.0777,0.9194,3,3,gpt-5.4-mini,958,2268
s1__t1__gpt_5_4_mini__m5v2rb,2,4,8,7,2,7,0,1,73,1.8844,0.0788,0.9186,3,3,gpt-5.4-mini,1304,2198
s1__t1__gpt_5_4_mini__m5v2rb,2,5,10.66,9,8,7,0,1,73,2.2906,0.158,0.9283,3,3,gpt-5.4-mini,904,2502
s1__t1__gpt_5_4_mini__m5v2rb,2,6,5.425461119999999,8,8,6,0,1,64,2.3006,0.2488,0.8618,3,3,gpt-5.4-mini,994,2156
s1__t1__gpt_5_4_mini__m5v2rb,2,7,4.0344,6,0,7,0,1,73,1.8844,0.0788,0.9186,3,3,gpt-5.4-mini,1062,2175
s1__t1__gpt_5_4_mini__m5v2rb,2,8,7.789999999999999,7,5,6,0,1,65,2.2422,0.2787,0.8373,3,3,gpt-5.4-mini,915,2558
s1__t1__gpt_5_4_mini__m5v2rb,2,9,5.379199999999999,4,8,6,0,1,65,1.3422,0.1657,0.8327,3,3,gpt-5.4-mini,1229,2085
s1__t1__gpt_5_4_mini__m5v2rb,2,10,9.43,8,7,8,0,1,110,2.5329,0.3119,0.8551,3,3,gpt-5.4-mini,985,2502
s1__t1__gpt_5_4_mini__m5v2rb,2,11,12,9,6,8,0,1,115,2.3323,0.3054,0.8588,3,3,gpt-5.4-mini,1257,2218
s1__t1__gpt_5_4_mini__m5v2rb,2,12,7.167783999999998,9,8,8,0,1,110,2.3323,0.3054,0.8589,3,3,gpt-5.4-mini,1204,2218
s1__t1__gpt_5_4_mini__m5v2rb,2,13,4.819617961599998,9,8,7,0,1,73,2.2552,0.2133,0.8742,3,3,gpt-5.4-mini,1141,2261
s1__t1__gpt_5_4_mini__m5v2rb,2,14,8,6,4,7,0,1,73,1.96,0.1231,0.9484,3,3,gpt-5.4-mini,1079,2205
s1__t1__gpt_5_4_mini__m5v2rb,2,15,3.9520867285119987,9,8,8,0,1,110,2.3323,0.3054,0.8589,3,3,gpt-5.4-mini,1029,3057
s1__t1__gpt_5_4_mini__m5v4rb,0,1,10.5,8,5,2,0,0,25,2.2876,0.2265,0.9264,5,5,gpt-5.4-mini,933,3262
s1__t1__gpt_5_4_mini__m5v4rb,0,2,11.5,8,7,2,0,0,25,2.416,0.3797,0.9915,5,5,gpt-5.4-mini,1116,2870
s1__t1__gpt_5_4_mini__m5v4rb,0,3,11,8,6,4,0,0,36,2.3434,0.3059,0.9172,5,5,gpt-5.4-mini,1310,3935
s1__t1__gpt_5_4_mini__m5v4rb,0,4,8,8,0,4,0,0,36,2.3434,0.3059,0.9172,5,5,gpt-5.4-mini,1157,3191
s1__t1__gpt_5_4_mini__m5v4rb,0,5,4.295156719999999,9,1,2,0,0,25,2.224,0.2242,0.9939,5,5,gpt-5.4-mini,1884,3753
s1__t1__gpt_5_4_mini__m5v4rb,0,6,10,9,2,4,0,0,35,2.5227,0.342,0.819,5,5,gpt-5.4-mini,1079,2764
s1__t1__gpt_5_4_mini__m5v4rb,0,7,10,8,4,4,0,0,38,2.5673,0.3685,0.8658,5,5,gpt-5.4-mini,1155,3191
s1__t1__gpt_5_4_mini__m5v4rb,0,8,3.8927683535999984,7,7,4,0,0,36,2.4686,0.3536,0.8063,5,5,gpt-5.4-mini,1117,3173
s1__t1__gpt_5_4_mini__m5v4rb,0,9,7.396399999999999,8,6,4,0,0,35,2.604,0.3957,0.9199,5,5,gpt-5.4-mini,1339,3439
s1__t1__gpt_5_4_mini__m5v4rb,0,10,6.340731999999998,8,7,4,0,0,35,2.6115,0.3955,0.9206,5,5,gpt-5.4-mini,1182,2817
s1__t1__gpt_5_4_mini__m5v4rb,0,11,8.0688,10,4,4,0,0,41,2.5438,0.349,0.7473,5,5,gpt-5.4-mini,1158,3063
s1__t1__gpt_5_4_mini__m5v4rb,0,12,8.61,8,5,4,0,0,38,2.5625,0.3234,0.6999,5,5,gpt-5.4-mini,1237,2760
s1__t1__gpt_5_4_mini__m5v4rb,0,13,8.5,8,1,4,0,0,42,2.5964,0.5164,0.8546,5,5,gpt-5.4-mini,1216,3973
s1__t1__gpt_5_4_mini__m5v4rb,0,14,10,8,4,4,0,0,38,2.5807,0.4814,0.9143,5,5,gpt-5.4-mini,1138,2973
s1__t1__gpt_5_4_mini__m5v4rb,0,15,6.616415999999998,9,6,4,0,0,41,2.5997,0.4773,0.8934,5,5,gpt-5.4-mini,1007,2464
s1__t1__gpt_5_4_mini__m5v4rb,1,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,5,5,gpt-5.4-mini,1555,2399
s1__t1__gpt_5_4_mini__m5v4rb,1,2,10,8,4,2,0,0,51,2.5225,0.3462,0.8178,5,5,gpt-5.4-mini,1158,2611
s1__t1__gpt_5_4_mini__m5v4rb,1,3,10,8,4,2,0,0,76,2.5834,0.3781,0.8105,5,5,gpt-5.4-mini,1416,3269
s1__t1__gpt_5_4_mini__m5v4rb,1,4,9,8,2,2,0,0,76,2.5632,0.3653,0.8218,5,5,gpt-5.4-mini,1209,2930
s1__t1__gpt_5_4_mini__m5v4rb,1,5,5.715399999999999,7,3,2,0,0,76,2.5861,0.3754,0.792,5,5,gpt-5.4-mini,1458,3050
s1__t1__gpt_5_4_mini__m5v4rb,1,6,4.521217599999999,7,6,2,0,0,51,2.4822,0.283,0.7999,5,5,gpt-5.4-mini,2222,2574
s1__t1__gpt_5_4_mini__m5v4rb,1,7,5.237995999999999,8,3,2,0,0,75,2.608,0.3812,0.8583,5,5,gpt-5.4-mini,1647,3266
s1__t1__gpt_5_4_mini__m5v4rb,1,8,8,8,0,2,0,0,75,2.608,0.3812,0.8583,5,5,gpt-5.4-mini,2340,3364
s1__t1__gpt_5_4_mini__m5v4rb,1,9,2,1,2,5,0,5,159,0,0,1,5,5,gpt-5.4-mini,2677,2631
s1__t1__gpt_5_4_mini__m5v4rb,1,10,1,1,0,5,0,5,159,0,0,1,5,5,gpt-5.4-mini,2105,2591
s1__t1__gpt_5_4_mini__m5v4rb,1,11,1,1,0,5,0,5,159,0,0,1,5,5,gpt-5.4-mini,2006,3081
s1__t1__gpt_5_4_mini__m5v4rb,1,12,1,1,0,5,0,5,159,0,0,1,5,5,gpt-5.4-mini,2914,2725
s1__t1__gpt_5_4_mini__m5v4rb,1,13,1.5,1,1,7,0,5,251,0,0,1,5,5,gpt-5.4-mini,2939,2520
s1__t1__gpt_5_4_mini__m5v4rb,1,14,1,1,0,7,0,5,254,0,0,1,5,5,gpt-5.4-mini,2877,2695
s1__t1__gpt_5_4_mini__m5v4rb,1,15,1.5,1,1,7,0,5,250,0,0,1,5,5,gpt-5.4-mini,2747,2704
s1__t1__gpt_5_4_mini__m5v4rb,2,1,5.5,2,7,5,0,1,51,0.598,0.0168,0.993,5,5,gpt-5.4-mini,1247,3351
s1__t1__gpt_5_4_mini__m5v4rb,2,2,8.5,6,5,6,0,1,59,1.1762,0.1368,0.7942,5,5,gpt-5.4-mini,1199,4495
s1__t1__gpt_5_4_mini__m5v4rb,2,3,5.379199999999999,8,0,2,0,0,25,2.224,0.2273,0.994,5,5,gpt-5.4-mini,1280,2706
s1__t1__gpt_5_4_mini__m5v4rb,2,4,8,8,0,2,0,0,25,2.224,0.2273,0.994,5,5,gpt-5.4-mini,1035,3074
s1__t1__gpt_5_4_mini__m5v4rb,2,5,12,9,6,3,0,0,31,2.1606,0.2174,0.989,5,5,gpt-5.4-mini,1146,4252
s1__t1__gpt_5_4_mini__m5v4rb,2,6,4.263508196799998,9,5,5,0,1,46,2.1415,0.1683,0.9949,5,5,gpt-5.4-mini,1472,2708
s1__t1__gpt_5_4_mini__m5v4rb,2,7,11.5,9,5,5,0,1,46,2.314,0.2322,0.7424,5,5,gpt-5.4-mini,1143,3027
s1__t1__gpt_5_4_mini__m5v4rb,2,8,9.43,9,5,5,0,1,46,2.224,0.2349,0.993,5,5,gpt-5.4-mini,1336,3288
s1__t1__gpt_5_4_mini__m5v4rb,2,9,8.5,8,1,5,0,1,46,2.518,0.318,0.7216,5,5,gpt-5.4-mini,1240,3731
s1__t1__gpt_5_4_mini__m5v4rb,2,10,8,8,0,5,0,1,46,2.518,0.318,0.7216,5,5,gpt-5.4-mini,1324,2687
s1__t1__gpt_5_4_mini__m5v4rb,2,11,10.5,7,7,5,0,2,87,2.0242,0.146,0.7997,5,5,gpt-5.4-mini,1526,3111
s1__t1__gpt_5_4_mini__m5v4rb,2,12,10.5,8,5,5,0,2,87,2.074,0.2182,0.7231,5,5,gpt-5.4-mini,1569,3316
s1__t1__gpt_5_4_mini__m5v4rb,2,13,9,6,6,5,0,2,87,2.0648,0.2017,0.7516,5,5,gpt-5.4-mini,2899,4671
s1__t1__gpt_5_4_mini__m5v4rb,2,14,8,7,2,5,0,2,87,2.0599,0.1506,0.7958,5,5,gpt-5.4-mini,1494,3063
s1__t1__gpt_5_4_mini__m5v4rb,2,15,4.078138275199999,7,8,5,0,1,46,1.9874,0.11,0.8326,5,5,gpt-5.4-mini,1812,3013
s1__t2__gpt_5_4_mini__m5v2rb,0,1,4.5,2,5,2,0,0,24,2.4101,0.327,0.8185,3,3,gpt-5.4-mini,793,2412
s1__t2__gpt_5_4_mini__m5v2rb,0,2,11.5,8,7,5,0,2,71,1.332,0.0281,0.9969,3,3,gpt-5.4-mini,1096,2026
s1__t2__gpt_5_4_mini__m5v2rb,0,3,11,8,6,5,0,2,93,1.2204,0.0204,0.9942,3,3,gpt-5.4-mini,1151,2066
s1__t2__gpt_5_4_mini__m5v2rb,0,4,10,8,4,8,0,2,111,1.2075,0.0205,0.9938,3,3,gpt-5.4-mini,1335,1904
s1__t2__gpt_5_4_mini__m5v2rb,0,5,10.5,9,3,9,0,2,116,1.265,0.0209,0.995,3,3,gpt-5.4-mini,1281,2347
