condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,11,9,4,,gemini-3-flash-preview,,,,,4,0,80,2.0651,0.2401,completed,53622,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11.5,9,5,,gemini-3-flash-preview,,,,,6,0,111,2.5966,0.4306,completed,57172,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,11.5,9,5,,gemini-3-flash-preview,,,,,6,1,123,1.4374,0.111,completed,54585,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9,9,0,,gemini-3-flash-preview,,,,,8,0,102,2.5119,0.5123,completed,50565,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11.5,8,7,,gemini-3-flash-preview,,,,,4,0,324,0.9681,0.0913,completed,54527,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9,9,0,,gemini-3-flash-preview,,,,,7,2,407,1.8813,0.5419,completed,61864,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8.5,8,1,7,gemini-3-flash-preview,,,,,6,0,1144,2.2309,0.2248,completed,75743,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,9.5,8,3,,gemini-3-flash-preview,,,,,9,0,186,1.6753,0.2621,completed,53741,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9,8,2,,gemini-3-flash-preview,,,,,10,1,540,2.5162,0.5256,completed,77156,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8.5,8,1,,gemini-3-flash-preview,,,,,7,0,580,2.3755,0.331,completed,57746,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,8.5,8,1,,gemini-3-flash-preview,,,,,7,0,550,2.2545,0.3875,completed,53731,
s1__t1__gpt_5_4_mini__m5v2di,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,8,7,2,,gemini-3-flash-preview,,,,,9,0,226,2.0949,0.3086,completed,50990,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,9.5,7,5,4,gemini-3-flash-preview,,,,,7,0,953,1.2704,0.0163,completed,77958,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,5,4,2,2,gemini-3-flash-preview,,,,,3,0,124,1.4207,0.099,completed,56395,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,9.5,8,3,,gemini-3-flash-preview,,,,,8,0,376,1.0688,0.0152,completed,58321,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7,5,4,3,gemini-3-flash-preview,,,,,5,0,165,2.4572,0.3764,completed,48057,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,10.5,8,5,6,gemini-3-flash-preview,,,,,5,0,260,1.843,0.0741,completed,49749,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,7.5,7,1,,gemini-3-flash-preview,,,,,6,0,574,1.4197,0.0258,completed,48643,
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10,8,4,,gemini-3-flash-preview,,,,,9,0,372,1.5465,0.0477,completed,61331,
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,8,7,2,3,gemini-3-flash-preview,,,,,7,0,450,1.0167,0.022,completed,61311,
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10,7,6,,gemini-3-flash-preview,,,,,7,0,177,1.3621,0.0449,completed,58587,
s1__t2__gpt_5_4_mini__m5v2di,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10,8,4,,gemini-3-flash-preview,,,,,11,0,1858,1.4714,0.2409,completed,63592,
