condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,12,2,1401,1.1971,0.1151,0.9619,0.5023,5795,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,11,2,1137,0.948,0.1659,0.9358,0.6351,5719,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,14,2,1240,0.5131,0.0338,0.9784,0.7268,6259,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,10,0,736,1.8073,0.3819,0.9551,0.6638,3355,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,14,1,1204,0.6601,0.0271,0.9927,0.0487,5107,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,12,2,953,1.5813,0.1772,0.9031,0.7744,3930,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,13,1,2408,0.3468,0.0377,0.9733,0.6845,8230,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,12,2,1071,0.5062,0.0626,0.9561,0.6544,4320,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,11,2,970,1.6233,0.2013,0.8759,0.7506,4317,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,13,1,1622,1.5626,0.1834,0.9654,0.7744,5675,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,0,12,1,1181,0.6203,0.0048,0.9991,0.4866,5186,2,4
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,1,12,1,2817,0.6759,0.0406,0.9751,0.4758,8828,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,2,10,1,1624,1.1688,0.0317,0.9752,0.4164,5638,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,3,12,2,1866,1.3457,0.0575,0.9772,0.5905,5572,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,4,10,2,1762,0.3702,0.0169,0.9958,0.2896,6768,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,5,16,1,2022,0.1685,0.0077,0.9957,0.7696,7014,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,6,16,1,2166,0.5712,0.0132,0.9983,0.4724,7268,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,7,11,1,1437,0.8219,0.0192,0.9913,0.5608,6033,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,8,14,2,1715,1.1831,0.0499,0.9714,0.7457,6987,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,9,11,1,1531,0,0,1,0.6644,9716,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,10,1,329,1.6134,0.3562,0.8759,0.6977,2144,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,11,1,399,0.9069,0.031,0.9903,0.7293,5597,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,9,1,295,2.5736,0.3961,0.8773,0.7688,1947,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,2,503,0.4384,0.0488,0.9952,0.4718,2958,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,9,2,323,1.8042,0.0363,1,0.7428,1906,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,10,2,549,0.3047,0.0603,0.9552,0.6956,2697,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,10,1,324,0.1106,0.0165,0.9917,0.7393,2020,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,10,1,158,2.4666,0.1802,0.8985,0.7744,1503,,
