condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,12,2,717,2.2623,0.228,0.9529,0.7744,3741,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,12,2,1131,0.1656,0.023,0.9884,0.6745,5379,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,12,1,877,1.8051,0.2193,0.8292,0.7549,3833,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,12,2,795,1.5827,0.2237,0.8702,0.7179,3966,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,12,2,1172,0.2053,0.0172,0.9973,0.1017,6278,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,12,1,1398,2.2399,0.2282,0.9867,0.7744,6776,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,10,2,1135,0.2342,0.0321,0.9833,0.7497,4511,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,11,1,858,1.4667,0.1508,0.8739,0.551,3840,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,13,1,1129,2.0252,0.2151,0.8984,0.6695,5707,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,11,2,1361,0.7739,0.0448,0.9622,0.6361,4992,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,0,12,1,1421,1.0555,0.0421,0.9763,0.7271,5820,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,1,11,1,1406,1.1713,0.0901,0.9437,0.5169,5697,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,2,13,1,1519,0.961,0.0406,0.9818,0.5291,6109,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,3,12,1,1666,1.1257,0.0184,0.991,0.568,7330,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,4,10,1,1591,0,0,1,0.3614,6332,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,5,12,1,1022,2.3265,0.1464,0.9925,0.77,4846,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,6,13,1,1242,0.0369,0.0052,0.9994,0.4006,5805,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,7,10,2,1238,0.6076,0.0083,0.9984,0.7704,5457,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,8,10,1,3234,0.808,0.0302,0.9906,0.5453,11812,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,9,11,1,3665,0,0,1,0.6955,12577,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,10,2,702,0.834,0.0838,0.9273,0.631,3042,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,10,2,294,1.1762,0.1041,0.9753,0.7604,2034,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,10,2,270,2.293,0.1217,0.9732,0.6765,1920,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,1,403,2.2665,0.5271,0.8953,0.7744,3539,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,10,2,456,0.8852,0.0552,0.9606,0.7545,2351,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,8,2,373,2.1632,0.1787,0.9201,0.731,2092,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,11,2,407,2.1401,0.2725,0.791,0.7682,2056,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,11,2,265,1.7074,0.234,0.8191,0.6478,1469,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,2,377,0.9876,0.1046,0.9377,0.412,3394,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,8,1,503,0.3473,0.082,0.9963,0.7744,3585,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,9,1,234,2.18,0.1826,0.8975,0.7235,1567,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,12,2,872,1.382,0.0882,0.9851,0.4842,4486,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,11,1,593,1.0615,0.1177,0.9674,0.4188,3347,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,9,0,470,1.3741,0.1134,0.9781,0.7744,2401,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,11,1,502,1.5134,0.1927,0.9049,0.7744,2627,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,10,2,438,1.2501,0.1533,0.8648,0.4419,2985,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,11,2,387,0.8479,0.0405,0.9619,0.497,2162,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,10,2,426,1.5904,0.1222,0.9347,0.5595,2108,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,1,312,1.6201,0.3839,0.919,0.5826,2076,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,10,2,750,1.9468,0.2552,0.7084,0.7434,3373,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,12,0,565,1.387,0.0211,0.9945,0.7033,3717,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,14,0,530,0.8199,0.0127,0.995,0.7458,2787,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,1,612,0.8885,0.0161,0.9898,0.5266,3004,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,10,0,817,0,0,1,0.5029,3749,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,10,1,178,1.6981,0.6793,0.9973,0.7486,1644,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,11,2,628,0.8893,0.0378,0.9606,0.4521,3209,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,11,0,256,0.0659,0.0081,0.9993,0.3593,1775,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,12,1,489,0.547,0.0051,0.9995,0.4201,3323,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,10,1,873,0.4173,0.0393,0.9751,0.4112,4048,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,8,2,366,0.7048,0.0522,0.9763,0.5247,2059,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,9,1,706,0.5245,0.0337,0.9847,0.7282,3111,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,11,2,1111,1.4342,0.0376,0.9809,0.7273,4827,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,2,536,0.5598,0.0667,0.9874,0.769,2559,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,10,2,908,1.4155,0.1416,0.9619,0.7628,3856,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,11,1,399,0.555,0.0153,0.9895,0.2687,2320,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,10,2,1237,0.622,0.0143,0.9985,0.5789,4539,,
