condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gpt_5_4_mini__m5v2db,0,1,20.2,8,8,4.2,0,10,1,5,277,0.9525,0.0163,0.987,3,3,gpt-5.4-mini,2348,2106
s1__t3__gpt_5_4_mini__m5v2db,0,2,15,8,7,0,1,10,1,11,684,1.2986,0.0278,0.9801,3,3,gpt-5.4-mini,3793,2529
s1__t3__gpt_5_4_mini__m5v2db,0,3,14,8,6,0,0,10,1,12,772,1.3603,0.0346,0.9791,3,3,gpt-5.4-mini,4056,2016
s1__t3__gpt_5_4_mini__m5v2db,0,4,12,8,4,0,0,10,1,13,840,1.3129,0.0352,0.9788,3,3,gpt-5.4-mini,4394,2208
s1__t3__gpt_5_4_mini__m5v2db,0,5,13,8,5,0,0,10,1,14,907,1.38,0.0367,0.9771,3,3,gpt-5.4-mini,4806,3237
s1__t3__gpt_5_4_mini__m5v2db,0,6,16,9,7,0,0,10,1,17,1108,1.144,0.0389,0.9751,3,3,gpt-5.4-mini,6553,2184
s1__t3__gpt_5_4_mini__m5v2db,0,7,10,8,2,0,1,10,1,18,1189,1.1252,0.0392,0.975,3,3,gpt-5.4-mini,6105,2331
s1__t3__gpt_5_4_mini__m5v2db,0,8,16,9,7,0,0,10,1,19,1256,0.7662,0.0335,0.9809,3,3,gpt-5.4-mini,6459,2200
s1__t3__gpt_5_4_mini__m5v2db,0,9,17,9,8,0,0,10,1,22,1453,0.8642,0.0528,0.972,3,3,gpt-5.4-mini,8241,2551
s1__t3__gpt_5_4_mini__m5v2db,0,10,14,9,5,0,0,10,1,23,1519,0.7217,0.0367,0.9836,3,3,gpt-5.4-mini,7577,2521
s1__t3__gpt_5_4_mini__m5v2db,0,11,14,9,5,0,0,10,1,24,1585,0.4415,0.0224,0.9908,3,3,gpt-5.4-mini,8198,2626
s1__t3__gpt_5_4_mini__m5v2db,0,12,14,9,5,0,0,10,1,25,1653,0.7125,0.0313,0.9859,3,3,gpt-5.4-mini,9051,2738
s1__t3__gpt_5_4_mini__m5v2db,0,13,14,9,5,0,0,10,1,26,1734,0.5355,0.0269,0.9891,3,3,gpt-5.4-mini,8455,2690
s1__t3__gpt_5_4_mini__m5v2db,0,14,14,9,5,0,0,10,1,27,1816,0.3648,0.0195,0.9923,3,3,gpt-5.4-mini,8592,2423
s1__t3__gpt_5_4_mini__m5v2db,0,15,12,8,4,0,0,10,1,28,1883,0.3282,0.0167,0.9938,3,3,gpt-5.4-mini,10006,2449
s1__t3__gpt_5_4_mini__m5v2db,1,1,18.8,4,7,7.8,0,8,2,4,139,0.6786,0.0109,0.9902,3,3,gpt-5.4-mini,1582,2595
s1__t3__gpt_5_4_mini__m5v2db,1,2,21,7,7,7,0,10,3,3,171,1.2132,0.0218,0.9916,3,3,gpt-5.4-mini,1554,2385
s1__t3__gpt_5_4_mini__m5v2db,1,3,17.6,8,3,6.6,0,10,3,4,210,1.2132,0.0218,0.9916,3,3,gpt-5.4-mini,1711,1993
s1__t3__gpt_5_4_mini__m5v2db,1,4,19.2,8,7,4.2,0,11,3,6,353,1.6375,0.0362,0.9722,3,3,gpt-5.4-mini,2567,2413
s1__t3__gpt_5_4_mini__m5v2db,1,5,17.8,9,7,1.8000000000000007,0,11,3,8,495,1.9996,0.0383,0.9723,3,3,gpt-5.4-mini,3448,2219
