condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t1__gpt_5_4_mini,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.5,8,3,,gemini-3-flash-preview,,,,,7,0,155,2.0927,0.3019,completed,57398,
s1__t1__gpt_5_4_mini,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,5,0,9,7,,gemini-3-flash-preview,,,,,8,1,136,2.2678,0.1696,error,20053,"OpenAI 400: {
    ""error"": {
        ""message"": ""We could not parse the JSON body of your request. (HINT: This likely means you aren"
s1__t1__gpt_5_4_mini,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,9.5,6,7,,gemini-3-flash-preview,,,,,4,0,53,2.2511,0.1518,completed,54964,
s1__t2__gpt_5_4_mini,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,6,5,2,2,gemini-3-flash-preview,2,3,0.00,-1.00,6,0,281,0.7552,0.0069,completed,54979,
s1__t2__gpt_5_4_mini,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,9,7,4,2,gemini-3-flash-preview,2,3,0.00,-1.00,3,0,181,0.6963,0.0133,completed,55193,
s1__t2__gpt_5_4_mini,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10.5,9,3,,gemini-3-flash-preview,2,3,,,3,0,252,1.3154,0.0284,completed,53821,
s2__t1__gpt_5_4_mini,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8.5,6,5,,gemini-3-flash-preview,,,,,5,0,389,1.7381,0.1871,completed,66411,
s2__t1__gpt_5_4_mini,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,10,8,4,,gemini-3-flash-preview,,,,,2,0,198,1.9224,0.1168,completed,62463,
s2__t1__gpt_5_4_mini,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,11.5,8,7,,gemini-3-flash-preview,,,,,4,0,232,1.7486,0.1172,completed,62920,
s2__t2__gpt_5_4_mini,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,4.5,4,1,2,gemini-3-flash-preview,2,,0.00,,7,0,190,0.4673,0.0055,completed,58002,
s2__t2__gpt_5_4_mini,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,7,6,2,2,gemini-3-flash-preview,2,,0.00,,3,0,348,0.4207,0.0083,completed,59048,
s2__t2__gpt_5_4_mini,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10,8,4,,gemini-3-flash-preview,2,,,,3,0,189,1.119,0.0186,completed,54494,
